"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
"0288 , URL: http://xmpp.org/extensions/xep-0288.html
","Bidirectional Server-to-Server Connections","Stable","Unknown","Unknown","Unknown","Unknown","Yes[18]","Yes[19]","No","Unknown","Unknown","Unknown"
"0289 , URL: http://xmpp.org/extensions/xep-0289.html
","Federated MUC for Constrained Environments","Deferred","Unknown","Unknown","Unknown","Unknown","No","Yes[19]","No","Unknown","Unknown","Unknown"
"0302 , URL: http://xmpp.org/extensions/xep-0302.html
","XMPP Compliance Suites 2012","Obsolete","Yes[8]","Unknown","Unknown","Unknown","Yes","No","Yes","Unknown","Unknown","Yes[6]"
"0309 , URL: http://xmpp.org/extensions/xep-0309.html
","Service Directories","Deferred","Unknown","Unknown","Unknown","Unknown","Yes[18]","Unknown","No","Unknown","Contrib.[20]","Unknown"
"0313 , URL: http://xmpp.org/extensions/xep-0313.html
","Message Archive Management","Experimental","Yes[53]","Unknown","Unknown","Unknown","Yes[18]","No","Yes","Yes[54]","Yes[55]","Yes[6]"
"0321 , URL: http://xmpp.org/extensions/xep-0321.html
","Remote Roster Management","Deferred","Yes[41]","Unknown","Unknown","Unknown","Unknown[18]","Unknown","No","Unknown","Unknown[56]","Unknown"
"0357 , URL: http://xmpp.org/extensions/xep-0357.html
","Push Notifications","Experimental","Contrib","Unknown","No","No","Yes[18]","No","Yes[57]","No","Contrib.[58]","Yes[6]"
"0363 , URL: http://xmpp.org/extensions/xep-0363.html
","HTTP File Upload","Experimental","Contrib","Unknown","No","No","Yes[18]","No","Yes[59]","Yes/Plugin[60]","Yes[61]","Yes[6]"
"0375 , URL: http://xmpp.org/extensions/xep-0375.html
","XMPP Compliance Suites 2016","Retracted","Contrib","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"0376 , URL: http://xmpp.org/extensions/xep-0376.html
","Pubsub Account Management","Deferred","Contrib","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"0387 , URL: http://xmpp.org/extensions/xep-0387.html
","XMPP Compliance Suites 2018","Obsolete","Yes.[62]","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"0412 , URL: http://xmpp.org/extensions/xep-0412.html
","XMPP Compliance Suites 2019","Obsolete","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"0423 , URL: http://xmpp.org/extensions/xep-0423.html
","XMPP Compliance Suites 2020","Stable","Unknown","Unknown","Unknown","Unknown","Yes.[63]","Unknown","Unknown","Unknown","Unknown","Unknown"
"0443 , URL: http://xmpp.org/extensions/xep-0443.html
","XMPP Compliance Suites 2021","Stable","Unknown.[64]","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"XEP","Description","Status","ejabberd , URL: /wiki/Ejabberd
","iChat Server , URL: /wiki/Messages_Server
","jabberd14","jabberd2 , URL: /wiki/Jabberd2
","Metronome , URL: /wiki/Metronome_IM
","Isode M-Link , URL: /w/index.php?title=Isode_M-Link&action=edit&redlink=1
","MongooseIM , URL: /w/index.php?title=MongooseIM&action=edit&redlink=1
","Openfire , URL: /wiki/Openfire
","Prosody , URL: /wiki/Prosody_(software)
","Tigase , URL: /wiki/Tigase
"
