"Resort name and website","Nearest city","State/province","Peak elevation (ft)","Base elevation (ft)","Vertical drop (ft)","Skiable acreage","Total trails","Total lifts","Avg annual snowfall (in)","Adult weekend lift ticket window price (USD)","Date statistics updated"
"Beech Mountain Resort , URL: /w/index.php?title=Beech_Mountain_Resort&action=edit&redlink=1
[35] , URL: https://www.beechmountainresort.com//
","Beech Mountain , URL: /wiki/Beech_Mountain,_North_Carolina
","North Carolina , URL: /wiki/North_Carolina
","5,506","4,675","831","95","17","8","84","$70","December 11, 2019[105]"
"Appalachian Ski Mountain , URL: /wiki/Appalachian_Ski_Mountain
[36] , URL: https://www.appskimtn.com//
","Blowing Rock , URL: /wiki/Blowing_Rock,_North_Carolina
","North Carolina , URL: /wiki/North_Carolina
","4,000","3,635","365","27","12","5","27","$66","December 11, 2019[106]"
"Cataloochee Ski Area , URL: /wiki/Cataloochee_Ski_Area
[37] , URL: http://cataloochee.com//
","Maggie Valley , URL: /wiki/Maggie_Valley,_North_Carolina
","North Carolina , URL: /wiki/North_Carolina
","5,400","4,660","740","50","18","5","24","$72","December 11, 2019[107]"
"Sapphire Valley Ski Area , URL: /w/index.php?title=Sapphire_Valley_Ski_Area&action=edit&redlink=1
[38] , URL: https://web.archive.org/web/20180403000619/http://www.skisapphirevalley.com/
","Sapphire , URL: /wiki/Sapphire,_North_Carolina
","North Carolina , URL: /wiki/North_Carolina
","3,400","3,200","200","8","3","3","24","$45","December 11, 2019[108]"
"Wolf Ridge Ski Resort , URL: /wiki/Wolf_Ridge_Ski_Resort
[39] , URL: https://web.archive.org/web/20180306083416/http://www.skiwolfridgenc.com//
","Mars Hill , URL: /wiki/Mars_Hill,_North_Carolina
","North Carolina , URL: /wiki/North_Carolina
","4,700","4,000","700","65","15","4","65","$65","December 11, 2019[109]"
"Aspen Highlands , URL: /wiki/Aspen_Highlands
","Aspen , URL: /wiki/Aspen,_Colorado
","Colorado , URL: /wiki/Colorado
","11,678","8,040","3,638","1,010","144","5","300","$74","December 11, 2019[111]"
"Aspen Mountain , URL: /wiki/Aspen_Mountain_(ski_area)
","Aspen , URL: /wiki/Aspen,_Colorado
","Colorado , URL: /wiki/Colorado
","11,212","7,945","3,267","673","76","8","300","$174","December 11, 2019[111]"
"Buttermilk , URL: /wiki/Buttermilk_(ski_area)
","Aspen , URL: /wiki/Aspen,_Colorado
","Colorado , URL: /wiki/Colorado
","9,900","7,870","2,030","435","44","8","200","$174","December 11, 2019[111]"
"Snowmass , URL: /wiki/Snowmass_(ski_area)
","Aspen , URL: /wiki/Aspen,_Colorado
","Colorado , URL: /wiki/Colorado
","12,510","8,104","4,406","3,362","96","17","300","$174","December 11, 2019[111]"
"Lee Canyon (Ski and Snowboard Resort) , URL: /wiki/Lee_Canyon_(Ski_and_Snowboard_Resort)
","Las Vegas , URL: /wiki/Las_Vegas
","Nevada , URL: /wiki/Nevada
","11,289","8,510","860","385","27","3","161","$79","December 11, 2019[116]"
"Terry Peak , URL: /wiki/Terry_Peak
","Lead , URL: /wiki/Lead,_South_Dakota
","South Dakota , URL: /wiki/South_Dakota
","7,064","5,930","1,134","450","30","4","150","$59","December 11, 2019[117]"
"Mount Snow , URL: /wiki/Mount_Snow
[40] , URL: https://www.mountsnow.com/
","Dover , URL: /wiki/Dover,_VT
","Vermont , URL: /wiki/Vermont
","3,600","1,900","1,700","600","86","20","156","$118","December 11, 2019[118]"
"Wintergreen , URL: https://www.wintergreenresort.com/
","Charlottesville , URL: /wiki/Charlottesville,_Virginia
","Virginia , URL: /wiki/Virginia
","3,515","2,512","1,003","129","26","5","35","$94","December 11, 2019[119]"
"Angel Fire Resort , URL: /wiki/Angel_Fire_Resort
[41] , URL: https://www.angelfireresort.com/
","Angel Fire , URL: /wiki/Angel_Fire,_New_Mexico
","New Mexico , URL: /wiki/New_Mexico
","10,677","8,600","2,077","30","80","7","210","$84","December 11, 2019[120]"
"Bridger Bowl , URL: /wiki/Bridger_Bowl_Ski_Area
","Bozeman , URL: /wiki/Bozeman,_Montana
","Montana , URL: /wiki/Montana
","8,700","6,100","2,600","2,000","75","11","350","$63","September 28, 2019[121]"
"Turner Mountain , URL: /wiki/Turner_Mountain_Ski_Resort
","Libby , URL: /wiki/Libby,_Montana
","Montana , URL: /wiki/Montana
","5,952","3,842","2,110","1,000","22","1","200","$38","September 28, 2019[122]"
"Discovery , URL: /wiki/Discovery_Ski_Area
","Anaconda , URL: /wiki/Anaconda,_Montana
","Montana , URL: /wiki/Montana
","8,158","5,770","2,388","2,200","67","8","150","$52","September 28, 2019[123]"
"Great Divide , URL: /wiki/Great_Divide_Ski_Area
","Helena , URL: /wiki/Helena,_Montana
","Montana , URL: /wiki/Montana
","7,210","5,880","1,330","1,500","140","6","180","$48","September 28, 2019[124]"
"Showdown , URL: /wiki/Showdown_Ski_Area
","Great Falls , URL: /wiki/Great_Falls,_Montana
","Montana , URL: /wiki/Montana
","8,200","6,800","1,400","640","36","4","240","$49","September 28, 2019"
"Maverick Mountain , URL: /wiki/Maverick_Mountain_Ski_Area
","Dillon , URL: /wiki/Dillon,_Montana
","Montana , URL: /wiki/Montana
","8,820","6,800","2,020","350","24","2","200","$45","February 15, 2022"
"Lost Trail Powder Mountain , URL: /wiki/Lost_Trail_Powder_Mountain
","Hamilton , URL: /wiki/Hamilton,_Montana
","Montana , URL: /wiki/Montana
","8,200","6,400","1,800","1,800","60","8","325","$46","September 28, 2019[125]"
"Blacktail Mountain , URL: /wiki/Blacktail_Mountain_Ski_Area
","Kalispell , URL: /wiki/Kalispell,_Montana
","Montana , URL: /wiki/Montana
","6,780","5,340","1,440","1,000","26","4","250","$42","September 28, 2019[126]"
"Bear Paw Ski Bowl , URL: /wiki/Bear_Paw_Ski_Bowl
","Havre , URL: /wiki/Havre,_Montana
","Montana , URL: /wiki/Montana
","5,280","4,200","1,080","80","11","2","140","$20","September 28, 2019[127]"
"Red Lodge Mountain , URL: /wiki/Red_Lodge_Mountain
","Red Lodge , URL: /wiki/Red_Lodge,_Montana
","Montana , URL: /wiki/Montana
","9,416","7,016","2,400","1,635","70","7","250","$69","September 28, 2019[128]"
"Montana Snowbowl , URL: /wiki/Montana_Snowbowl
","Missoula , URL: /wiki/Missoula,_Montana
","Montana , URL: /wiki/Montana
","7,600","5,000","2,600","950","39","4","300","$52","September 28, 2019[129]"
"Teton Pass , URL: /wiki/Teton_Pass_Ski_Area
","Choteau , URL: /wiki/Choteau,_Montana
","Montana , URL: /wiki/Montana
","7,200","6,190","1,010","114","26","2","250","$45","May 25, 2020[130]"
"White Pass , URL: /wiki/White_Pass_Ski_Area
","Yakima , URL: /wiki/Yakima,_Washington
","Washington , URL: /wiki/Washington_(state)
","6,500","4,500","2,000","1,400","45","8","350","$69","September 28, 2019[131]"
"49 Degrees North , URL: /wiki/49_Degrees_North_Ski_Area
","Spokane , URL: /wiki/Spokane,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,774","3,923","1,851","2,325","82","6","300","$62","September 28, 2019[132]"
"Hurricane Ridge , URL: /wiki/Hurricane_Ridge_Ski_and_Snowboard_Area
","Port Angeles , URL: /wiki/Port_Angeles,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,500","4,800","700","","10","3","400","$37","September 28, 2019[133]"
"The Summit at Snoqualmie , URL: /wiki/The_Summit_at_Snoqualmie
","North Bend , URL: /wiki/North_Bend,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,420","2,610","2,280","1,914","62","27","435","$58","September 28, 2019[134]"
"Ski Bluewood , URL: /wiki/Ski_Bluewood
","Dayton , URL: /wiki/Dayton,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,670","4,454","1,216","530","24","3","300","$50","September 28, 2019[135]"
"Mount Spokane , URL: /wiki/Mount_Spokane_Ski_and_Snowboard_Park
","Spokane , URL: /wiki/Spokane,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,889","3,818","2,071","1,704","52","8","300","$62","September 28, 2019[136]"
"Mission Ridge , URL: /wiki/Mission_Ridge_Ski_Area
","Wenatchee , URL: /wiki/Wenatchee,_Washington
","Washington , URL: /wiki/Washington_(state)
","6,820","4,570","2,250","2,000","36","6","200","$75","September 28, 2019[137]"
"Loup Loup Ski Bowl , URL: /wiki/Loup_Loup_Ski_Bowl
","Twisp , URL: /wiki/Twisp,_Washington
","Washington , URL: /wiki/Washington_(state)
","5,280","4,040","1,240","550","10","3","150","$55","September 28, 2019[138]"
"Echo Valley , URL: /wiki/Echo_Valley_Ski_Area
","Chelan , URL: /wiki/Chelan,_Washington
","Washington , URL: /wiki/Washington_(state)
","3,900","3,000","900","70","6","4","","$30","September 28, 2019[139]"
"Badger Mountain , URL: /wiki/Badger_Mountain_Ski_Area
","Waterville , URL: /wiki/Waterville,_Washington
","Washington , URL: /wiki/Washington_(state)
","3,470","3,145","325","10","5","3","120","$10","September 28, 2019[140]"
"Leavenworth Ski Hill , URL: /wiki/Leavenworth_Ski_Hill
","Leavenworth , URL: /wiki/Leavenworth,_Washington
","Washington , URL: /wiki/Washington_(state)
","1,706","1,476","230","17","2","2","","$22","September 28, 2019[141]"
"Meany Lodge , URL: /wiki/Meany_Lodge
","Easton , URL: /wiki/Easton,_Washington
","Washington , URL: /wiki/Washington_(state)
","","","450","54","32","1","","$40","September 28, 2019[142]"
"Sitzmark Lifts , URL: http://skisitzmark.org/
","Tonasket , URL: /wiki/Tonasket,_Washington
","Washington , URL: /wiki/Washington_(state)
","4,950","4,300","650","","11","2","","$45","September 28, 2019[143]"
"Mount Eyak , URL: /wiki/Mount_Eyak
","Cordova , URL: /wiki/Cordova,_Alaska
","Alaska , URL: /wiki/Alaska
","1,200","400","800","100","10","2","350","$30","September 28, 2019[144]"
"Moose Mountain , URL: /wiki/Moose_Mountain_(Alaska)
","Fairbanks , URL: /wiki/Fairbanks,_Alaska
","Alaska , URL: /wiki/Alaska
","1,985","685","1,300","200","40","0","70","$40","September 28, 2019[145]"
"Eaglecrest , URL: /wiki/Eaglecrest_Ski_Area
","Juneau , URL: /wiki/Juneau,_Alaska
","Alaska , URL: /wiki/Alaska
","2,750","1,130","1,620","640","34","4","350","$58","September 28, 2019[146]"
"Hilltop , URL: /wiki/Hilltop_Ski_Area
","Anchorage , URL: /wiki/Anchorage,_Alaska
","Alaska , URL: /wiki/Alaska
","780","486","294","30","13","3","69","$34","September 28, 2019[147]"
"Arctic Valley , URL: /wiki/Arctic_Valley_Ski_Area
","Anchorage , URL: /wiki/Anchorage,_Alaska
","Alaska , URL: /wiki/Alaska
","4,000","2,500","1,500","320","24","3","250","$40","September 28, 2019[148]"
"Mount Aurora Skiland , URL: /wiki/Skiland
","Fairbanks , URL: /wiki/Fairbanks,_Alaska
","Alaska , URL: /wiki/Alaska
","2,435","1,408","1,027","530","46","2","","$40","September 28, 2019[149]"
"White Pine , URL: /wiki/White_Pine_Ski_Resort
","Pinedale , URL: /wiki/Pinedale,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","9,500","8,450","1,050","350","27","2","150","$50","September 28, 2019[150]"
"Snowy Range , URL: /wiki/Snowy_Range_Ski_Area
","Centennial , URL: /wiki/Centennial,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","9,663","8,798","865","250","27","5","245","$49","September 28, 2019[151]"
"Snow King , URL: /wiki/Snow_King_Mountain
","Jackson , URL: /wiki/Jackson,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","7,808","6,237","1,571","400","32","5","175","$59","September 28, 2019[152]"
"Pine Creek , URL: /wiki/Pine_Creek_Ski_Area
","Cokeville , URL: /wiki/Cokeville,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","8,200","6,875","1,325","370","30","2","150","$45","September 28, 2019[153]"
"Hogadon , URL: /wiki/Hogadon_Ski_Area
","Casper , URL: /wiki/Casper,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","8,000","7,370","630","60","27","2","140","$48","September 28, 2019[154]"
"Meadowlark Ski Lodge , URL: https://www.lodgesofthebighorns.com/meadowlark-ski-lodge-wyoming.php
","Ten Sleep , URL: /wiki/Ten_Sleep,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","9,500","8,500","1,000","300","14","3","","$48","September 28, 2019[155]"
"Sleeping Giant","Cody , URL: /wiki/Cody,_Wyoming
","Wyoming , URL: /wiki/Wyoming
","7,428","6,619","810","184","49","3","310","$42","September 28, 2019[156]"
"Elko Snobowl","Elko , URL: /wiki/Elko,_Nevada
","Nevada , URL: /wiki/Nevada
","6,988","6,338","650","60","10","2","24","$20","September 28, 2019[157]"
"Diamond Peak , URL: /wiki/Diamond_Peak_(ski_area)
","Incline Village , URL: /wiki/Incline_Village,_Nevada
","Nevada , URL: /wiki/Nevada
","8,540","6,700","1,840","655","30","6","225","$99","September 28, 2019[158]"
"Great Bear Ski Valley , URL: https://greatbearpark.com/
","Sioux Falls , URL: /wiki/Sioux_Falls,_South_Dakota
","South Dakota , URL: /wiki/South_Dakota
","1,530","1,352","178","220","14","4","150","$29","September 28, 2019[159]"
"Huff Hills , URL: /wiki/Huff_Hills
","Mandan , URL: /wiki/Mandan,_North_Dakota
","North Dakota , URL: /wiki/North_Dakota
","2,150","1,725","425","","21","3","40","$35","September 28, 2019[160]"
"Bottineau Winter Park , URL: /wiki/Bottineau_Winter_Park
","Bottineau , URL: /wiki/Bottineau,_North_Dakota
","North Dakota , URL: /wiki/North_Dakota
","2,450","2,270","180","40","8","6","13","$35","September 28, 2019[161]"
"Elk Ridge , URL: /w/index.php?title=Elk_Ridge_Ski_Area&action=edit&redlink=1
","Williams , URL: /wiki/Williams,_Arizona
","Arizona , URL: /wiki/Arizona
","8,150","7,500","650","37","10","2","150","$40","September 28, 2019[162]"
"Mount Lemmon Ski Valley , URL: /wiki/Mount_Lemmon_Ski_Valley
","Tucson , URL: /wiki/Tucson,_Arizona
","Arizona , URL: /wiki/Arizona
","9,157","8,200","957","200","21","3","180","$60","February 27, 2021[163]"
"Sunrise Park , URL: /wiki/Sunrise_Park_Resort
","Greer , URL: /wiki/Greer,_Arizona
","Arizona , URL: /wiki/Arizona
","11,100","9,200","1,900","800","65","9","250","$78","September 28, 2019[164]"
"Sandia Peak , URL: /wiki/Sandia_Peak_Ski_Area
","Albuquerque , URL: /wiki/Albuquerque,_New_Mexico
","New Mexico , URL: /wiki/New_Mexico
","10,378","8,678","1,700","200","39","5","100","$55","September 28, 2019[165]"
"Ski Apache , URL: /wiki/Ski_Apache
","Ruidoso , URL: /wiki/Ruidoso,_New_Mexico
","New Mexico , URL: /wiki/New_Mexico
","11,500","9,600","1,900","750","55","8","185","$74","September 28, 2019[166]"
"Sipapu , URL: /wiki/Sipapu_Ski_%26_Summer_Resort
","Taos , URL: /wiki/Taos,_New_Mexico
","New Mexico , URL: /wiki/New_Mexico
","9,225","8,200","1,055","200","41","6","190","$45","September 28, 2019[167]"
"Red River","Red River , URL: /wiki/Red_River,_New_Mexico
","New Mexico , URL: /wiki/New_Mexico
","10,350","8,750","1,600","209","64","7","214","$82","September 28, 2019[168]"
"Kelly Canyon , URL: /wiki/Kelly_Canyon
","Idaho Falls , URL: /wiki/Idaho_Falls,_Idaho
","Idaho , URL: /wiki/Idaho
","6,600","5,600","1,000","640","26","5","200","$42","September 28, 2019[169]"
"Pebble Creek , URL: /wiki/Pebble_Creek,_Idaho
","Pocatello , URL: /wiki/Pocatello,_Idaho
","Idaho , URL: /wiki/Idaho
","8,560","6,360","2,200","1,100","54","3","250","$52","September 28, 2019[170]"
"Magic Mountain , URL: /wiki/Magic_Mountain_Ski_Area
","Twin Falls , URL: /wiki/Twin_Falls,_Idaho
","Idaho , URL: /wiki/Idaho
","7,240","6,540","700","120","11","4","230","$33","September 28, 2019[171]"
"Blizzard Mountain , URL: /wiki/Blizzard_Mountain_Ski_Area
","Arco , URL: /wiki/Arco,_Idaho
","Idaho , URL: /wiki/Idaho
","6,305","5,595","710","","","1","","","September 28, 2019"
"Rotarun , URL: /wiki/Rotarun_Ski_Area
","Hailey , URL: /wiki/Hailey,_Idaho
","Idaho , URL: /wiki/Idaho
","5,895","5,420","475","","12","1","","$20","September 28, 2019[172]"
"Chipmunk Hill","Challis , URL: /wiki/Challis,_Idaho
","Idaho , URL: /wiki/Idaho
","","","","30","1","1","","$5","September 28, 2019"
"Snowhaven , URL: /wiki/Snowhaven
","Grangeville , URL: /wiki/Grangeville,_Idaho
","Idaho , URL: /wiki/Idaho
","5,600","5,200","400","40","9","2","60","$19","September 28, 2019[173]"
"Tamarack , URL: /wiki/Tamarack_Resort
","Boise , URL: /wiki/Boise,_Idaho
","Idaho , URL: /wiki/Idaho
","7,660","4,900","2,760","1,100","45","6","300","$71","September 28, 2019[174]"
"Cottonwood Butte , URL: /wiki/Cottonwood_Butte
","Cottonwood , URL: /wiki/Cottonwood,_Idaho
","Idaho , URL: /wiki/Idaho
","5,730","4,885","845","260","7","2","45","$20","September 28, 2019[175]"
"Bald Mountain , URL: /wiki/Bald_Mountain_(Idaho)
","Pierce , URL: /wiki/Pierce,_Idaho
","Idaho , URL: /wiki/Idaho
","4,800","4,000","800","140","16","2","100","$20","September 28, 2019[176]"
"Silver Mountain , URL: /wiki/Silver_Mountain_(Idaho)
","Coeur d'Alene , URL: /wiki/Coeur_d%27Alene,_Idaho
","Idaho , URL: /wiki/Idaho
","6,297","4,100","2,197","1,600","67","8","300","$58","September 28, 2019[177]"
"Mohawk Mountain , URL: /wiki/Mohawk_Mountain_Ski_Area
","Cornwall , URL: /wiki/Cornwall,_Connecticut
","Connecticut , URL: /wiki/Connecticut
","1,600","960","640","107","25","8","24","$67","September 28, 2019[178]"
"Powder Ridge , URL: /wiki/Powder_Ridge_Ski_Area
","Middlefield , URL: /wiki/Middlefield,_Connecticut
","Connecticut , URL: /wiki/Connecticut
","803","377","426","80","19","7","60","$49","September 28, 2019[179]"
"Ski Sundown , URL: /wiki/Ski_Sundown
","Hartford , URL: /wiki/Hartford,_Connecticut
","Connecticut , URL: /wiki/Connecticut
","1075","450","625","70","16","5","45","$62","September 28, 2019[180]"
"Mount Southington , URL: /wiki/Mount_Southington
","Waterbury , URL: /wiki/Waterbury,_Connecticut
","Connecticut , URL: /wiki/Connecticut
","525","100","425","51","14","7","80","$62","September 28, 2019[181]"
"Yawgoo Valley , URL: /wiki/Yawgoo_Valley
","Exeter , URL: /wiki/Exeter,_Rhode_Island
","Rhode Island , URL: /wiki/Rhode_Island
","310","70","240","36","14","3","39","$50","September 28, 2019[182]"
"Frost Fire , URL: /wiki/Frost_Fire_Park
","Walhalla , URL: /wiki/Walhalla,_North_Dakota
","North Dakota , URL: /wiki/North_Dakota
","1,400","1,070","330","","10","3","","$23","September 28, 2019[183]"
"Hidden Valley , URL: /wiki/Hidden_Valley_Ski_Area
","Wildwood , URL: /wiki/Wildwood,_Missouri
","Missouri , URL: /wiki/Missouri
","860","540","320","65","17","9","19","$49","September 28, 2019[184]"
"Snow Creek , URL: /wiki/Snow_Creek_(ski_resort)
","Weston , URL: /wiki/Weston,_Missouri
","Missouri , URL: /wiki/Missouri
","1,099","799","300","25","12","5","20","$47","September 28, 2019[185]"
"Ober Gatlinburg , URL: /wiki/Ober_Gatlinburg
","Gatlinburg , URL: /wiki/Gatlinburg,_Tennessee
","Tennessee , URL: /wiki/Tennessee
","3,300","2,700","600","38","10","4","9","$65","September 28, 2019[186]"
"Paoli Peaks , URL: /wiki/Paoli_Peaks
","Paoili , URL: /wiki/Paoli,_Indiana
","Indiana , URL: /wiki/Indiana
","900","600","300","65","17","8","18","$45","September 28, 2019[187]"
"Perfect North Slopes , URL: /wiki/Perfect_North_Slopes
","Lawrenceburg , URL: /wiki/Lawrenceburg,_Indiana
","Indiana , URL: /wiki/Indiana
","800","400","400","100","23","11","23","$52","September 28, 2019[188]"
"Alpine Valley , URL: /wiki/Alpine_Valley_Music_Theatre
","Chesterland , URL: /wiki/Chesterland,_Ohio
","Ohio , URL: /wiki/Ohio
","1,500","1,260","240","72","11","5","120","$44","September 28, 2019[189]"
"Boston Mills/Brandywine , URL: /wiki/Boston_Mills/Brandywine_Ski_Resort
","Peninsula , URL: /wiki/Peninsula,_Ohio
","Ohio , URL: /wiki/Ohio
","871","531","240","79","18","16","54","$44","September 28, 2019[190]"
"Mad River , URL: /wiki/Mad_River_Mountain
","Bellafontaine , URL: /wiki/Bellefontaine,_Ohio
","Ohio , URL: /wiki/Ohio
","1,460","1,160","300","144","23","12","36","$49","September 28, 2019[191]"
"Snow Trails , URL: https://www.snowtrails.com/
","Mansfield , URL: /wiki/Mansfield,_Ohio
","Ohio , URL: /wiki/Ohio
","1,475","1,175","300","80","17","7","52","$52","September 28, 2019[192]"
"Big Creek","Concord , URL: /wiki/Concord,_Ohio
","Ohio , URL: /wiki/Ohio
","1,466","1,292","174","23","5","2","102","Private Club","September 28, 2019"
"Wisp Ski Resort , URL: /wiki/Wisp_Ski_Resort
","McHenry , URL: /wiki/McHenry,_Maryland
","Maryland , URL: /wiki/Maryland
","3,115","2,145","700","132","34","12","100","$49","September 28, 2019[193]"
"Campgaw Mountain , URL: /wiki/Campgaw_Mountain
","Mahwah , URL: /wiki/Mahwah,_New_Jersey
","New Jersey , URL: /wiki/New_Jersey
","726","450","276","23","12","5","45","$41","September 28, 2019[194]"
"Mountain Creek , URL: /wiki/Mountain_Creek
","Vernon , URL: /wiki/Vernon_Township,_New_Jersey
","New Jersey , URL: /wiki/New_Jersey
","1,490","450","1,040","167","46","9","65","$80","September 28, 2019[195]"
"Cockaigne Resort , URL: /w/index.php?title=Cockaigne_Resort&action=edit&redlink=1
","Cherry Creek , URL: /wiki/Cherry_Creek,_New_York
","New York , URL: /wiki/New_York_(state)
","2.022","1,592","430","100","11","3","175","$50",""
"Big Rock , URL: /wiki/Big_Rock_(ski_resort)
","Presque Isle , URL: /wiki/Presque_Isle,_Maine
","Maine , URL: /wiki/Maine
","1,590","670","920","60","27","3","100","$40","September 29, 2019[196]"
"Big Squaw Mountain , URL: /wiki/Big_Squaw_Mountain_Resort
","Greenville , URL: /wiki/Greenville,_Maine
","Maine , URL: /wiki/Maine
","2,920","1,300","1,620","1,216","33","1","136","$30","September 29, 2019[197]"
"Mount Jefferson , URL: https://skimtjefferson.com/
","Lee , URL: /wiki/Lee,_Maine
","Maine , URL: /wiki/Maine
","775","343","432","160","13","2","75","$25","September 29, 2019[198]"
"New Hermon Mountain , URL: https://skihermonmountain.com/
","Bangor , URL: /wiki/Bangor,_Maine
","Maine , URL: /wiki/Maine
","450","150","300","70","20","3","90","$35","September 29, 2019[199]"
"Camden Snow Bowl , URL: /wiki/Camden_Snow_Bowl
","Camden , URL: /wiki/Camden,_Maine
","Maine , URL: /wiki/Maine
","1,080","235","845","100","17","3","50","$33","September 29, 2019[200]"
"Powderhouse Hill , URL: /wiki/Powderhouse_Hill_(ski_area)
","Portland , URL: /wiki/Portland,_Maine
","Maine , URL: /wiki/Maine
","240","120","120","","3","1","","$5","September 29, 2019[201]"
"Lost Valley , URL: /wiki/Lost_Valley_Ski_Area
","Lewiston , URL: /wiki/Lewiston,_Maine
","Maine , URL: /wiki/Maine
","480","240","240","45","27","4","99","$60","September 29, 2019"
"Shawnee Peak , URL: /wiki/Shawnee_Peak_Ski_Area
","Bridgton , URL: /wiki/Bridgton,_Maine
","Maine , URL: /wiki/Maine
","","","1,300","245","44","6","110","$75","September 29, 2019[202]"
"Sunday River , URL: /wiki/Sunday_River_(ski_resort)
","Newry , URL: /wiki/Newry,_Maine
","Maine , URL: /wiki/Maine
","3,140","800","2,340","870","153","18","155","$109","September 29, 2019[203]"
"Ski Mount Abraham , URL: /wiki/Ski_Mount_Abram
","Bethel , URL: /wiki/Bethel,_Maine
","Maine , URL: /wiki/Maine
","1,990","940","1,050","650","44","5","115","$49","September 29, 2019[204]"
"Black Mountain of Maine , URL: /wiki/Black_Mountain_of_Maine
","Lewiston , URL: /wiki/Lewiston,_Maine
","Maine , URL: /wiki/Maine
","2,380","1,000","1,380","300","46","2","120","$45","September 29, 2019[205]"
"Titcomb Mountain , URL: /wiki/Titcomb_Mountain
","Farmington , URL: /wiki/Farmington,_Maine
","Maine , URL: /wiki/Maine
","750","400","350","45","16","3","85","$17","September 29, 2019[206]"
"Spruce Mountain Ski Slope , URL: https://www.sprucemountain.org/
","Jay , URL: /wiki/Jay,_Maine
","Maine , URL: /wiki/Maine
","310","10","300","","12","3","","$25","September 29, 2019[207]"
"Eaton Mountain , URL: /wiki/Eaton_Mountain
","Waterville , URL: /wiki/Waterville,_Maine
","Maine , URL: /wiki/Maine
","840","220","620","130","18","2","72","$15","September 29, 2019[208]"
"Baker Mountain , URL: /wiki/Baker_Mountain_(ski_area)
","Bingham , URL: /wiki/Bingham,_Maine
","Maine , URL: /wiki/Maine
","","","460","","5","1","","$10","September 29, 2019"
"Blandford Ski Area , URL: /wiki/Blandford_Ski_Area
","Blandford , URL: /wiki/Blandford,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","1,490","1,025","465","55","29","5","70","$45","September 29, 2019[209]"
"Berkshire East , URL: /wiki/Berkshire_East_Ski_Resort
","Greenfield , URL: /wiki/Greenfield,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","1,720","540","1,180","180","45","6","120","$69","September 29, 2019[210]"
"Ski Butternut , URL: /wiki/Ski_Butternut
","Great Barrington , URL: /wiki/Great_Barrington,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","1,764","645","1,119","110","22","10","115","$65","September 29, 2019[211]"
"Jiminy Peak , URL: /wiki/Jiminy_Peak_(ski_area)
","Pittsfield , URL: /wiki/Pittsfield,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","2,375","1,125","1,140","170","45","8","110","$84","September 29, 2019[212]"
"Wachusett Mountain , URL: /wiki/Wachusett_Mountain_(ski_area)
","Worcester , URL: /wiki/Worcester,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","2,006","1,006","1,000","110","22","7","100","$73","September 29, 2019[213]"
"Nashoba Valley , URL: /wiki/Nashoba_Valley_Ski_Area
","Boston , URL: /wiki/Boston
","Massachusetts , URL: /wiki/Massachusetts
","422","182","240","59","17","9","55","$60","September 29, 2019[214]"
"Blue Hills Ski Area , URL: /wiki/Blue_Hills_Ski_Area
","Boston , URL: /wiki/Boston
","Massachusetts , URL: /wiki/Massachusetts
","635","326","309","60","8","4","","$45","September 29, 2019[215]"
"Otis Ridge Ski Camp , URL: https://otisridge.com/info-planning/
","Otis , URL: /wiki/Otis,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","1,700","1,300","400","55","11","5","70","$40","September 29, 2019[216]"
"Ski Bradford , URL: /wiki/Ski_Bradford
","Haverhill , URL: /wiki/Haverhill,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","272","24","248","48","15","10","","$58","September 29, 2019[217]"
"Ski Ward , URL: /wiki/Ski_Ward
","Shrewsbury , URL: /wiki/Shrewsbury,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","420","210","210","45","9","6","80","$55","September 29, 2019[218]"
"Bosquet Ski Area , URL: /wiki/Bousquet_Ski_Area
","Pittsfield , URL: /wiki/Pittsfield,_Massachusetts
","Massachusetts , URL: /wiki/Massachusetts
","1,818","1,068","750","200","23","5","83","$47","September 29, 2019[219]"
"Chestnut Mountain , URL: /wiki/Chestnut_Mountain
","Galena , URL: /wiki/Galena,_Illinois
","Illinois , URL: /wiki/Illinois
","1,020","600","420","220","19","9","34","$60","September 29, 2019[220]"
"Snowstar Winter Sports Park , URL: /wiki/Ski_Snowstar
","Moline , URL: /wiki/Moline,_Illinois
","Illinois , URL: /wiki/Illinois
","790","528","262","28","14","6","38","$41","September 29, 2019[221]"
