"File archivers","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"WinAce , URL: /wiki/WinAce
","e-merge GmbH","Unknown","Windows","
URL: https://www.wikidata.org/wiki/Q2463160?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2007-11-08","Proprietary , URL: /wiki/Proprietary_software
","$29.00 Standard. $39.00 Plus. No cost for expander.[f]"
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","AmigaOS","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","Android","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","BSD","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","DOS","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","macOS","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","Unix","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","Windows","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinRAR , URL: /wiki/WinRAR
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1993","Windows Mobile","
URL: https://www.wikidata.org/wiki/Q242747?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-04","Proprietary , URL: /wiki/Proprietary_software
","$29.[24] No cost for expander."
"WinZip , URL: /wiki/WinZip
","WinZip Computing, Inc","1991","AmigaOS","","","Proprietary , URL: /wiki/Proprietary_software
","$29.95 Standard. $49.95 Pro."
"WinZip , URL: /wiki/WinZip
","WinZip Computing, Inc","1991","Android","
URL: https://www.wikidata.org/wiki/Q688317?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-12-18","Proprietary , URL: /wiki/Proprietary_software
","$29.95 Standard. $49.95 Pro."
"WinZip , URL: /wiki/WinZip
","WinZip Computing, Inc","1991","DOS","","","Proprietary , URL: /wiki/Proprietary_software
","$29.95 Standard. $49.95 Pro."
"WinZip , URL: /wiki/WinZip
","WinZip Computing, Inc","1991","iOS","
URL: https://www.wikidata.org/wiki/Q688317?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05-13","Proprietary , URL: /wiki/Proprietary_software
","$29.95 Standard. $49.95 Pro."
"WinZip , URL: /wiki/WinZip
","WinZip Computing, Inc","1991","macOS","
URL: https://www.wikidata.org/wiki/Q688317?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05","Proprietary , URL: /wiki/Proprietary_software
","$29.95 Standard. $49.95 Pro."
"WinZip , URL: /wiki/WinZip
","WinZip Computing, Inc","1991","Windows","
URL: https://www.wikidata.org/wiki/Q688317?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-31","Proprietary , URL: /wiki/Proprietary_software
","$29.95 Standard. $49.95 Pro."
"XAD , URL: /wiki/XAD_(software)
","Dirk Stoecker","1998","AmigaOS","13.1","","Proprietary , URL: /wiki/Proprietary_software
","Shareware , URL: /wiki/Shareware
"
"XAD , URL: /wiki/XAD_(software)
","Dirk Stoecker","1998","BSD","13.1","","Proprietary , URL: /wiki/Proprietary_software
","Shareware , URL: /wiki/Shareware
"
"XAD , URL: /wiki/XAD_(software)
","Dirk Stoecker","1998","GNU/Linux","13.1","","Proprietary , URL: /wiki/Proprietary_software
","Shareware , URL: /wiki/Shareware
"
"XAD , URL: /wiki/XAD_(software)
","Dirk Stoecker","1998","Unix","13.1","","Proprietary , URL: /wiki/Proprietary_software
","Shareware , URL: /wiki/Shareware
"
"Xarchiver , URL: /wiki/Xarchiver
","Giuseppe Torelli","Unknown","BSD","
URL: https://www.wikidata.org/wiki/Q1376913?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-01-24","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Xarchiver , URL: /wiki/Xarchiver
","Giuseppe Torelli","Unknown","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q1376913?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-01-24","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"ZipGenius , URL: /wiki/ZipGenius
","Matteo Riso of M.Dev Software","2003-05","Windows","
URL: https://www.wikidata.org/wiki/Q636579?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2017-02-01","Proprietary , URL: /wiki/Proprietary_software
","No cost , URL: /wiki/Gratis_versus_libre
"
"ZPAQ , URL: /wiki/ZPAQ
","Matt Mahoney","2009-03","macOS","
URL: https://www.wikidata.org/wiki/Q8063260?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-09-22","MIT , URL: /wiki/MIT
","No cost , URL: /wiki/Gratis_versus_libre
"
"ZPAQ , URL: /wiki/ZPAQ
","Matt Mahoney","2009-03","GNU/Linux","
URL: https://www.wikidata.org/wiki/Q8063260?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-09-22","MIT , URL: /wiki/MIT
","No cost , URL: /wiki/Gratis_versus_libre
"
"ZPAQ , URL: /wiki/ZPAQ
","Matt Mahoney","2009-03","Windows","
URL: https://www.wikidata.org/wiki/Q8063260?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-09-22","MIT , URL: /wiki/MIT
","No cost , URL: /wiki/Gratis_versus_libre
"
"File archivers","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"File archivers","Developer","Initial release","Platform","Version","Date","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
