"Architecture , URL: /wiki/Microarchitecture
","Fabrication (nm) , URL: /wiki/Semiconductor_device_fabrication
","Family","Release Date","Code name","Model Group","Cores","SMT , URL: /wiki/Simultaneous_multithreading
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Bus , URL: /wiki/Bus_(computing)
","Cache","Cache","Cache","Socket , URL: /wiki/CPU_socket
","Memory Controller","Features","Features","Features"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Windsor","3600+","2","No","2000","1000","64+64","256 PC, FS","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Windsor","3800+, 4200+, 4600+, 5000+, 5400+","2","No","2000, 2200, 2400, 2600, 2800","1000","64+64","512 PC, FS","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","90","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Windsor","4000+, 4400+, 4800+, 5200+, 5600+, 6000+, 6400+","2","No","2000, 2200, 2400, 2600, 2800, 3000, 3200","1000","64+64","1024 PC, FS","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","65","Athlon 64 X2 , URL: /wiki/Athlon_64_X2
","","Brisbane , URL: /wiki/Athlon_64_X2#Brisbane_(65_nm_SOI)
","3600+, 3800+, 4000+, 4200+, 4400+, 4600+, 4800+, 5000+, 5200+, 5400+, 5600+, 5800+, 6000+","2","No","1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100","1000","64+64","512 PC, FS","","Socket AM2 , URL: /wiki/Socket_AM2
","DDR2 , URL: /wiki/DDR2_SDRAM
","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
AMD-V , URL: /wiki/AMD-V
"
"K8 , URL: /wiki/AMD_K8
","130","Sempron , URL: /wiki/Sempron
","","Paris","3000+","1","No","1800","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","130","Sempron , URL: /wiki/Sempron
","","Paris","3100+","1","No","1800","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","2500+","1","No","1400","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","2600+","1","No","1600","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","2800+","1","No","1600","800","64+64","","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3000+","1","No","1800","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3100+","1","No","1800","800","64+64","","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3300+","1","No","2000","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3400+","1","No","2000","800","64+64","","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3000+","1","No","1800","800","64+64","128","","Socket 939 , URL: /wiki/Socket_939
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3200+","1","No","1800","800","64+64","","","Socket 939 , URL: /wiki/Socket_939
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3400+","1","No","2000","800","64+64","128","","Socket 939 , URL: /wiki/Socket_939
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Palermo","3500+","1","No","2000","800","64+64","","","Socket 939 , URL: /wiki/Socket_939
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX Bit , URL: /wiki/NX_Bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Manila , URL: /wiki/Sempron#Manila_(90_nm_SOI)
","2800+, 3200+, 3500+","1","No","1600, 1800, 2000","800","64+64","128","","Socket AM2 , URL: /wiki/Socket_AM2
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Sempron , URL: /wiki/Sempron
","","Manila , URL: /wiki/Sempron#Manila_(90_nm_SOI)
","3000+, 3400+, 3600+, 3800+","1","No","1600, 1800, 2000, 2200","800","64+64","256","","Socket AM2 , URL: /wiki/Socket_AM2
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","65","Sempron , URL: /wiki/Sempron
","","Sparta , URL: /wiki/Sempron#Sparta_(90_nm_SOI)
","LE-1100, LE-1150","1","No","1900, 2000","800","64+64","256","","Socket AM2 , URL: /wiki/Socket_AM2
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","65","Sempron , URL: /wiki/Sempron
","","Sparta , URL: /wiki/Sempron#Sparta_(90_nm_SOI)
","LE-1200, LE-1250, LE-1300","1","No","2100, 2200, 2300","800","64+64","512","","Socket AM2 , URL: /wiki/Socket_AM2
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","Cool'n'Quiet , URL: /wiki/Cool%27n%27Quiet
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","130","Mobile Athlon 64 , URL: /wiki/List_of_AMD_Athlon_64_microprocessors#Mobile_Athlon_64
","","Clawhammer","2700+","1","No","1600","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","130","Mobile Athlon 64 , URL: /wiki/List_of_AMD_Athlon_64_microprocessors#Mobile_Athlon_64
","","Clawhammer","2800+, 3000+, 3200+, 3400+, 3700+","1","No","1600, 1800, 2000, 2200, 2400","800","64+64","1024","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","130","Mobile Athlon 64 , URL: /wiki/List_of_AMD_Athlon_64_microprocessors#Mobile_Athlon_64
","","Odessa","2700+, 2800+, 3000+","1","No","1600, 1800, 2000","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Athlon 64 , URL: /wiki/List_of_AMD_Athlon_64_microprocessors#Mobile_Athlon_64
","","Oakville","2700+, 2800+, 3000+","1","No","1600, 1800, 2000","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Athlon 64 , URL: /wiki/List_of_AMD_Athlon_64_microprocessors#Mobile_Athlon_64
","","Newark","3000+, 3200+, 3400+, 3700+, 4000+","1","No","1800, 2000, 2200, 2400, 2600","800","64+64","1024","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","130","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Dublin","","1","No","1600, 1800","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","130","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Dublin","","1","No","1600","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Georgetown","","1","No","1600, 1800, 2000","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Georgetown","","1","No","1600, 1800","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Sonora","","1","No","1600, 1800","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Sonora","","1","No","1600, 1800","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Albany","","1","No","1800, 2000, 2200","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Albany","","1","No","1800, 2000","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Roma","","1","No","1800, 2000","800","64+64","128","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Roma","","1","No","1600, 1800, 2000","800","64+64","256","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Keene","","1","No","1800, 2000","800","64+64","256","","Socket S1 , URL: /wiki/Socket_S1
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Mobile Sempron , URL: /wiki/List_of_AMD_Sempron_microprocessors#Mobile_Sempron
","","Keene","","1","No","1600, 1800, 2000","800","64+64","512","","Socket S1 , URL: /wiki/Socket_S1
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Turion 64 , URL: /wiki/Turion_64
","","Lancaster , URL: /wiki/AMD_Turion#Lancaster_(90_nm_SOI)
","MT-28, MT-32, ML-42","1","No","1600 1800, 2400","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Turion 64 , URL: /wiki/Turion_64
","","Lancaster , URL: /wiki/AMD_Turion#Lancaster_(90_nm_SOI)
","MT-30, MT-34, MT-37, MT-40, ML-44","1","No","1600, 1800, 2000, 2200, 2400","800","64+64","1024","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Turion 64 , URL: /wiki/Turion_64
","","Richmond , URL: /wiki/AMD_Turion#Richmond_(90_nm_SOI)
","MK-36, MK-38","1","No","2000, 2200","800","64+64","512","","Socket 754 , URL: /wiki/Socket_754
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Turion 64 X2 , URL: /wiki/Turion_64_X2
","","Taylor , URL: /wiki/List_of_AMD_Turion_microprocessors#"Taylor"_(90_nm)
","TL-50","2","No","1600","800","64+64","256","","Socket S1","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","90","Turion 64 X2 , URL: /wiki/Turion_64_X2
","","Trinidad , URL: /wiki/List_of_AMD_Turion_microprocessors#"Trinidad"_(90_nm)
","TL-52, TL-56, TL-60, TL-64","2","No","1600, 1800, 2000, 2200","800","64+64","512","","Socket S1","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","65","Turion 64 X2 , URL: /wiki/Turion_64_X2
","","Tyler , URL: /wiki/List_of_AMD_Turion_microprocessors#"Tyler"_(65_nm)
","TK-53, TK-55, TK-57","2","No","1700, 1800, 1900","800","64+64","256","","Socket S1","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K8 , URL: /wiki/AMD_K8
","65","Turion 64 X2 , URL: /wiki/Turion_64_X2
","","Tyler , URL: /wiki/List_of_AMD_Turion_microprocessors#"Tyler"_(65_nm)
","TL-56, TL-58, TL-60, TL-62, TL-64, TL-66, TL-68","2","No","1800, 1900, 2000, 2100, 2200, 2300, 2400","800","64+64","512","","Socket S1","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
","","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
"
"K10 , URL: /wiki/AMD_10h
","65","Opteron , URL: /wiki/Opteron
","","Barcelona","","4","No","1700-2500","1000","64+64","256, 512","2048","Socket F , URL: /wiki/Socket_F
","","MMX , URL: /wiki/MMX_(instruction_set)
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
SSE4a , URL: /wiki/SSE4a
Enhanced 3DNow! , URL: /wiki/3DNow!
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
AMD-V , URL: /wiki/AMD-V
ccNUMA , URL: /wiki/CcNUMA
"
"K10 , URL: /wiki/AMD_10h
","65","Opteron , URL: /wiki/Opteron
","","Budapest","","4","No","1700-2500","1000","64+64","256, 512","2048","Socket AM2 , URL: /wiki/Socket_AM2
","","MMX , URL: /wiki/MMX_(instruction_set)
SSE , URL: /wiki/Streaming_SIMD_Extensions
SSE2 , URL: /wiki/SSE2
SSE3 , URL: /wiki/SSE3
SSE4a , URL: /wiki/SSE4a
Enhanced 3DNow! , URL: /wiki/3DNow!
","PowerNow! , URL: /wiki/PowerNow!
","AMD64 , URL: /wiki/AMD64
NX bit , URL: /wiki/NX_bit
AMD-V , URL: /wiki/AMD-V
"
