"Name","Developer","Predecessor","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/United_States_dollar
"
"LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2010-09","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q10135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2010-09","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q10135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2010-09","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q10135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2010-09","Solaris , URL: /wiki/Solaris_(operating_system)
Illumos , URL: /wiki/Illumos
","
URL: https://www.wikidata.org/wiki/Q10135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2010-09","Unix , URL: /wiki/Unix
","
URL: https://www.wikidata.org/wiki/Q10135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","OpenOffice.org , URL: /wiki/OpenOffice.org
Go-oo , URL: /wiki/Go-oo
StarOffice , URL: /wiki/StarOffice
","2010-09","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q10135?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","MPL-2.0 , URL: /wiki/Mozilla_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Lotus SmartSuite , URL: /wiki/Lotus_SmartSuite
","IBM , URL: /wiki/IBM
","—","1992[18]","OS/2 , URL: /wiki/OS/2
","
URL: https://www.wikidata.org/wiki/Q123390?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-02-05","Proprietary , URL: /wiki/Proprietary_software
","313.00"
"Lotus SmartSuite , URL: /wiki/Lotus_SmartSuite
","IBM , URL: /wiki/IBM
","—","1992[18]","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q123390?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-02-05","Proprietary , URL: /wiki/Proprietary_software
","313.00"
"Microsoft Office , URL: /wiki/Microsoft_Office
","Microsoft , URL: /wiki/Microsoft
","Microsoft Word , URL: /wiki/Microsoft_Word
Microsoft Excel , URL: /wiki/Microsoft_Excel
Microsoft PowerPoint , URL: /wiki/Microsoft_PowerPoint
","1990","macOS , URL: /wiki/MacOS
","16.39","2019","Proprietary , URL: /wiki/Proprietary_software
","89.95 - 679.95"
"Microsoft Office , URL: /wiki/Microsoft_Office
","Microsoft , URL: /wiki/Microsoft
","Microsoft Word , URL: /wiki/Microsoft_Word
Microsoft Excel , URL: /wiki/Microsoft_Excel
Microsoft PowerPoint , URL: /wiki/Microsoft_PowerPoint
","1992","Windows , URL: /wiki/Microsoft_Windows
","16.0","2019","Proprietary , URL: /wiki/Proprietary_software
","89.95 - 679.95"
"Microsoft Works , URL: /wiki/Microsoft_Works
","Microsoft , URL: /wiki/Microsoft
","—","1986","Macintosh , URL: /wiki/Apple_Macintosh
","
URL: https://www.wikidata.org/wiki/Q1123788?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2007-09-28","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"Microsoft Works , URL: /wiki/Microsoft_Works
","Microsoft , URL: /wiki/Microsoft
","—","1986","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q1123788?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2007-09-28","Proprietary , URL: /wiki/Proprietary_software
","Discontinued"
"NeoOffice , URL: /wiki/NeoOffice
","Planamesa Software","OpenOffice.org , URL: /wiki/OpenOffice.org
LibreOffice , URL: /wiki/LibreOffice
","2005-06-02","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q1361518?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-11","GNU GPL , URL: /wiki/GNU_General_Public_License
","$10/yr. $29.99 Mac App Store. Old versions at no cost."
"OfficeSuite , URL: /wiki/OfficeSuite
","MobiSystems","—","2004","Android , URL: /wiki/Android_(operating_system)
","
URL: https://www.wikidata.org/wiki/Q25345902?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-16","Proprietary , URL: /wiki/Proprietary_software
","€29.99/year for all platforms. No cost with ads and limited support."
"OfficeSuite , URL: /wiki/OfficeSuite
","MobiSystems","—","2004","iOS , URL: /wiki/IOS
","
URL: https://www.wikidata.org/wiki/Q25345902?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-19","Proprietary , URL: /wiki/Proprietary_software
","€29.99/year for all platforms. No cost with ads and limited support."
"OfficeSuite , URL: /wiki/OfficeSuite
","MobiSystems","—","2004","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q25345902?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021","Proprietary , URL: /wiki/Proprietary_software
","€29.99/year for all platforms. No cost with ads and limited support."
"OnlyOffice , URL: /wiki/OnlyOffice
","Ascensio Systems","—","2010","Online","
URL: https://www.wikidata.org/wiki/Q1582500?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-18","GNU AGPL , URL: /wiki/GNU_Affero_General_Public_License
","75-7,200 per year for commercial use. No cost for non-commercial use."
"OpenOffice.org , URL: /wiki/OpenOffice.org
","Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarOffice , URL: /wiki/StarOffice
","2002-05-01","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q511977?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-01-25","LGPL , URL: /wiki/LGPL
","No cost , URL: /wiki/Gratis_versus_libre
"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarOffice , URL: /wiki/StarOffice
","2002-05-01","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q511977?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-01-25","LGPL , URL: /wiki/LGPL
","No cost , URL: /wiki/Gratis_versus_libre
"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarOffice , URL: /wiki/StarOffice
","2002-05-01","Solaris , URL: /wiki/Solaris_(operating_system)
","
URL: https://www.wikidata.org/wiki/Q511977?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-01-25","LGPL , URL: /wiki/LGPL
","No cost , URL: /wiki/Gratis_versus_libre
"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarOffice , URL: /wiki/StarOffice
","2002-05-01","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q511977?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2011-01-25","LGPL , URL: /wiki/LGPL
","No cost , URL: /wiki/Gratis_versus_libre
"
"Polaris Office , URL: /wiki/Polaris_Office
","Infraware Inc.","—","2011-05","Android , URL: /wiki/Android_(operating_system)
","
URL: https://www.wikidata.org/wiki/Q2101059?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-23","Proprietary , URL: /wiki/Proprietary_software
","?"
"Polaris Office , URL: /wiki/Polaris_Office
","Infraware Inc.","—","2011-05","iOS , URL: /wiki/IOS
","
URL: https://www.wikidata.org/wiki/Q2101059?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-29","Proprietary , URL: /wiki/Proprietary_software
","?"
"Polaris Office , URL: /wiki/Polaris_Office
","Infraware Inc.","—","2011-05","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q2101059?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-03","Proprietary , URL: /wiki/Proprietary_software
","?"
"Polaris Office , URL: /wiki/Polaris_Office
","Infraware Inc.","—","2011-05","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q2101059?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-28","Proprietary , URL: /wiki/Proprietary_software
","?"
"Siag Office , URL: /wiki/Siag_Office
","Ulric Eriksson","—","1997","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q3482882?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-10","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Siag Office , URL: /wiki/Siag_Office
","Ulric Eriksson","—","1997","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q3482882?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-10","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"Siag Office , URL: /wiki/Siag_Office
","Ulric Eriksson","—","1997","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q3482882?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2006-11-10","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","2012-08[32]","Android , URL: /wiki/Android_(operating_system)
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","2006-12[32]","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","2018-03[32]","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","2006-11[32]","Pocket PC , URL: /wiki/Pocket_PC
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","1995-12[32]","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","2008-09[32]","Windows CE , URL: /wiki/Windows_CE
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"SoftMaker Office , URL: /wiki/SoftMaker_Office
","SoftMaker , URL: /wiki/SoftMaker
","—","2010-07[32]","Windows Mobile , URL: /wiki/Windows_Mobile
","
URL: https://www.wikidata.org/wiki/Q1289689?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-17","Proprietary , URL: /wiki/Proprietary_software
","99.95 for Office Professional. FreeOffice at no cost."
"StarOffice , URL: /wiki/StarOffice
","Star Division , URL: /wiki/Star_Division
Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","1995","BSD , URL: /wiki/BSD
","
URL: https://www.wikidata.org/wiki/Q375079?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-09-09","Proprietary , URL: /wiki/Proprietary_software
","34.95"
"StarOffice , URL: /wiki/StarOffice
","Star Division , URL: /wiki/Star_Division
Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","1995","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","
URL: https://www.wikidata.org/wiki/Q375079?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-09-09","Proprietary , URL: /wiki/Proprietary_software
","34.95"
"StarOffice , URL: /wiki/StarOffice
","Star Division , URL: /wiki/Star_Division
Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","1995","macOS , URL: /wiki/MacOS
","
URL: https://www.wikidata.org/wiki/Q375079?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-09-09","Proprietary , URL: /wiki/Proprietary_software
","34.95"
"StarOffice , URL: /wiki/StarOffice
","Star Division , URL: /wiki/Star_Division
Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","1995","Solaris , URL: /wiki/Solaris_(operating_system)
Illumos , URL: /wiki/Illumos
","
URL: https://www.wikidata.org/wiki/Q375079?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-09-09","Proprietary , URL: /wiki/Proprietary_software
","34.95"
"StarOffice , URL: /wiki/StarOffice
","Star Division , URL: /wiki/Star_Division
Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","1995","Unix , URL: /wiki/Unix
","
URL: https://www.wikidata.org/wiki/Q375079?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-09-09","Proprietary , URL: /wiki/Proprietary_software
","34.95"
"StarOffice , URL: /wiki/StarOffice
","Star Division , URL: /wiki/Star_Division
Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","StarWriter , URL: /wiki/StarWriter_(word_processor)
","1995","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q375079?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2009-09-09","Proprietary , URL: /wiki/Proprietary_software
","34.95"
"Tiki Wiki CMS Groupware , URL: /wiki/Tiki_Wiki_CMS_Groupware
","Tiki Software Community Association","—","2002","Online","
URL: https://www.wikidata.org/wiki/Q1410847?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-27","LGPL-2.1-only , URL: /wiki/GNU_Lesser_General_Public_License
","No cost , URL: /wiki/Gratis_versus_libre
"
"WordPerfect Office , URL: /wiki/WordPerfect_Office
","Corel , URL: /wiki/Corel
","WordPerfect , URL: /wiki/WordPerfect
","1991","Windows , URL: /wiki/Microsoft_Windows
","
URL: https://www.wikidata.org/wiki/Q174757?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-05","Proprietary , URL: /wiki/Proprietary_software
","69.99 - 399.99"
"WPS Office , URL: /wiki/WPS_Office
","Kingsoft , URL: /wiki/Kingsoft
","—","1988","Android , URL: /wiki/Android_(operating_system)
","PC 11.2.0","2019-04","Proprietary , URL: /wiki/Proprietary_software
","$119.99 perpetual license. $29.99 annual subscription. No cost with ads."
"WPS Office , URL: /wiki/WPS_Office
","Kingsoft , URL: /wiki/Kingsoft
","—","1988","GNU , URL: /wiki/GNU
Linux , URL: /wiki/Linux_kernel
","PC 11.2.0","2019-04","Proprietary , URL: /wiki/Proprietary_software
","$119.99 perpetual license. $29.99 annual subscription. No cost with ads."
"WPS Office , URL: /wiki/WPS_Office
","Kingsoft , URL: /wiki/Kingsoft
","—","1988","iOS , URL: /wiki/IOS
","PC 11.2.0","2019-04","Proprietary , URL: /wiki/Proprietary_software
","$119.99 perpetual license. $29.99 annual subscription. No cost with ads."
"WPS Office , URL: /wiki/WPS_Office
","Kingsoft , URL: /wiki/Kingsoft
","—","1988","macOS , URL: /wiki/MacOS
","PC 11.2.0","2019-04","Proprietary , URL: /wiki/Proprietary_software
","$119.99 perpetual license. $29.99 annual subscription. No cost with ads."
"WPS Office , URL: /wiki/WPS_Office
","Kingsoft , URL: /wiki/Kingsoft
","—","1988","Windows , URL: /wiki/Microsoft_Windows
","PC 11.2.0","2019-04","Proprietary , URL: /wiki/Proprietary_software
","$119.99 perpetual license. $29.99 annual subscription. No cost with ads."
"Zoho Office Suite , URL: /wiki/Zoho_Office_Suite
","Zoho Corp. , URL: /wiki/Zoho_Corporation
","—","2005","Online","","","Proprietary , URL: /wiki/Proprietary_software
","Up to 96 per user per year."
"Name","Developer","Predecessor","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","USD , URL: /wiki/USD
"
"Name","Developer","Predecessor","Initial release","Platform","Version","Date","License , URL: /wiki/Software_license
","USD , URL: /wiki/USD
"
