"Family","Country","Manufac.","Payload (kg)","Payload (kg)","Payload (kg)","US$ , URL: /wiki/US$
","Launches reaching...","Launches reaching...","Launches reaching...","Launches reaching...","Status","Date of flight","Date of flight","Notes","Refs"
"Unha-3 , URL: /wiki/Unha
","DPRK , URL: /wiki/North_Korea
","KCST , URL: /wiki/Korean_Committee_of_Space_Technology
","200","--","--","--","4[bd]","3","2","","Active","2006","","Var.: Paektusan based on Taepodong-1 missile; Unha based on Taepodong-2 missile.","[163][164]"
"Vanguard , URL: /wiki/Vanguard_(rocket)
","USA , URL: /wiki/United_States
","Martin , URL: /wiki/Martin_Aircraft
","23","--","--","--","12","","3","","Retired","1957","1959","","[165]"
"Vega , URL: /wiki/Vega_(rocket)
","EU , URL: /wiki/European_Union
","Avio , URL: /wiki/Avio
","2,300","--","--","23","20[be]","19","18","18","Active","2012","","Vega-C and Vega-E in development.","[166]"
"Yenisei , URL: /wiki/Yenisei_(rocket)
","RUS , URL: /wiki/Russia
","TsSKB-Progress , URL: /wiki/TsSKB-Progress
RSC Energia , URL: /wiki/RSC_Energia
","88,000-115000","","20,000-27,000","","0","","","","Devel.","2028","","","[167][168][169][170]"
"Vikram","IND , URL: /wiki/India
","Skyroot Aerospace , URL: /wiki/Skyroot_Aerospace
","≤ {\displaystyle \leq } 720","--","--","","0","","","","Devel.","NET 2022","","Var.: Vikram 1, Vikram II, Vikram III","[171]"
"VLM , URL: /wiki/VLM_(rocket)
","BRA , URL: /wiki/Brazil
","CTA , URL: /wiki/Brazilian_General_Command_for_Aerospace_Technology
","150","--","--","--","0","","","","Devel.","2022","","","[172][173][174]"
"Vulcan , URL: /wiki/Vulcan_(rocket)
","USA , URL: /wiki/United_States
","ULA , URL: /wiki/United_Launch_Alliance
","17,800–34,900","7,400–16,300","--","99","0","","","","Devel.","NET 2022","","","[175][176][177][178]"
"Zenit , URL: /wiki/Zenit_(rocket_family)
","USSR , URL: /wiki/Soviet_Union
UKR , URL: /wiki/Ukraine
RUS , URL: /wiki/Russia
","Yuzhnoye , URL: /wiki/Yuzhnoye_Design_Bureau
","13,740","6,160","4,098","--","84[bf]","","74","72","Active","1985","","Var.: 2, 2M (2SB, 2SLB), 3SL, 3SLB, 3SLBF","[179]"
"Zero , URL: /wiki/Zero_(rocket)
","JPN , URL: /wiki/Japan
","Interstellar Technologies , URL: /wiki/Interstellar_Technologies
","100 (SSO)","--","--","","0","","","","Devel.","2022-2023","","","[180]"
"Zhuque-1 , URL: /wiki/Zhuque-1
","CHN , URL: /wiki/China
","LandSpace , URL: /wiki/LandSpace
","300","--","--","","1","1","0","0","Retired","2018","2018","","[181][182]"
"Zhuque-2 , URL: /wiki/Zhuque-2
","CHN , URL: /wiki/China
","LandSpace , URL: /wiki/LandSpace
","4,000","--","--","","0","","","","Devel.","NET 2022","","","[181]"
"Zuljanah , URL: /wiki/Zuljanah_(rocket)
","IRN , URL: /wiki/Iran
","ISA , URL: /wiki/Iranian_Space_Agency
","220[183]","","","","1","1","0","0","Devel.","NET 2022[183]","","",""
