"Client","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","Monthly active users , URL: /wiki/Active_users
"
"Psi , URL: /wiki/Psi_(instant_messaging_client)
","Psi and Psi+ developers","2001; 21 years ago (2001)","Linux","
URL: https://www.wikidata.org/wiki/Q71393?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-09-06","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Psi , URL: /wiki/Psi_(instant_messaging_client)
","Psi and Psi+ developers","2001; 21 years ago (2001)","macOS","
URL: https://www.wikidata.org/wiki/Q71393?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-09-06","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Psi , URL: /wiki/Psi_(instant_messaging_client)
","Psi and Psi+ developers","2001; 21 years ago (2001)","Windows","
URL: https://www.wikidata.org/wiki/Q71393?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-09-06","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"RetroShare , URL: /wiki/RetroShare
","Cyril Soler, Gioacchino Mazzurco","2006; 16 years ago (2006)","","
URL: https://www.wikidata.org/wiki/Q279182?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-03-13","GPL , URL: /wiki/GPL
",""
"Ricochet , URL: /wiki/Ricochet_(software)
","Invisible.im","June 2014; 7 years ago (2014-06)","FreeBSD","
URL: https://www.wikidata.org/wiki/Q19894431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-11-07","BSD-3-Clause , URL: /wiki/BSD_licenses
",""
"Ricochet , URL: /wiki/Ricochet_(software)
","Invisible.im","June 2014; 7 years ago (2014-06)","Linux","
URL: https://www.wikidata.org/wiki/Q19894431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-11-07","BSD-3-Clause , URL: /wiki/BSD_licenses
",""
"Ricochet , URL: /wiki/Ricochet_(software)
","Invisible.im","June 2014; 7 years ago (2014-06)","macOS","
URL: https://www.wikidata.org/wiki/Q19894431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-11-07","BSD-3-Clause , URL: /wiki/BSD_licenses
",""
"Ricochet , URL: /wiki/Ricochet_(software)
","Invisible.im","June 2014; 7 years ago (2014-06)","Windows","
URL: https://www.wikidata.org/wiki/Q19894431?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-11-07","BSD-3-Clause , URL: /wiki/BSD_licenses
",""
"Sicher , URL: /wiki/Sicher_(software)
","SHAPE GmbH","June 2014; 7 years ago (2014-06)","","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
",""
"Signal , URL: /wiki/Signal_(software)
","Signal Foundation , URL: /wiki/Signal_Foundation
","July 2014; 7 years ago (2014-07)","Android","
URL: https://www.wikidata.org/wiki/Q19718090?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-01-06","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","40 million (2021)[47]"
"Signal , URL: /wiki/Signal_(software)
","Signal Foundation , URL: /wiki/Signal_Foundation
","July 2014; 7 years ago (2014-07)","iOS","
URL: https://www.wikidata.org/wiki/Q19718090?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-07","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","40 million (2021)[47]"
"Signal , URL: /wiki/Signal_(software)
","Signal Foundation , URL: /wiki/Signal_Foundation
","July 2014; 7 years ago (2014-07)","Desktop","
URL: https://www.wikidata.org/wiki/Q19718090?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-09","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
","40 million (2021)[47]"
"Silent Phone , URL: /wiki/Silent_Circle_(software)
","Silent Circle , URL: /wiki/Silent_Circle_(software)
","January 16, 2013; 9 years ago (2013-01-16)","","","","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
",""
"Skype , URL: /wiki/Skype
","Skype Technologies , URL: /wiki/Skype_Technologies
Microsoft Corporation , URL: /wiki/Microsoft_Corporation
","2003; 19 years ago (2003)","","","","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
","300 million (2018)[20]"
"Slack , URL: /wiki/Slack_(software)
","Slack Technologies , URL: /wiki/Slack_Technologies
","August 2013; 8 years ago (2013-08)","","","","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
",""
"Snapchat , URL: /wiki/Snapchat
","Snap Inc. , URL: /wiki/Snap_Inc.
","November 2011; 10 years ago (2011-11)","Android","
URL: https://www.wikidata.org/wiki/Q333618?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-31","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","294 million (2019)[35]"
"Snapchat , URL: /wiki/Snapchat
","Snap Inc. , URL: /wiki/Snap_Inc.
","November 2011; 10 years ago (2011-11)","iOS","
URL: https://www.wikidata.org/wiki/Q333618?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-30","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","294 million (2019)[35]"
"Steam Chat , URL: /wiki/Steam_Chat
","Valve","[52]","Android, iOS, Desktop, Web","","","",""
"Surespot , URL: /wiki/Surespot
","Surespot LLC","2013; 9 years ago (2013)","Android","
URL: https://www.wikidata.org/wiki/Q15944552?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-04-27","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Surespot , URL: /wiki/Surespot
","Surespot LLC","2013; 9 years ago (2013)","iOS","
URL: https://www.wikidata.org/wiki/Q15944552?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2018-11-14","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"TeamNote , URL: /wiki/TeamNote
","TeamNote Limited","2012; 10 years ago (2012)","","","","Subscription , URL: /wiki/Subscription_business_model
",""
"Telegram , URL: /wiki/Telegram_(software)
","Telegram Messenger LLP","2013; 9 years ago (2013)","Android","7.9.3","2021-08-07","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","500 million (2021)[55]"
"Telegram , URL: /wiki/Telegram_(software)
","Telegram Messenger LLP","2013; 9 years ago (2013)","iOS","7.9.2","2021-08-06","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","500 million (2021)[55]"
"Telegram , URL: /wiki/Telegram_(software)
","Telegram Messenger LLP","2013; 9 years ago (2013)","Desktop","2.9.3","2021-08-11","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","500 million (2021)[55]"
"Tencent QQ , URL: /wiki/Tencent_QQ
","Tencent Holdings , URL: /wiki/Tencent_Holdings
","February 1999; 23 years ago (1999-02)","","","","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
","823 million (2019)[35]"
"Threema , URL: /wiki/Threema
","Threema GmbH","December 2012; 9 years ago (2012-12)","Android","
URL: https://www.wikidata.org/wiki/Q101604437?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-03","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
",""
"Threema , URL: /wiki/Threema
","Threema GmbH","December 2012; 9 years ago (2012-12)","iOS","
URL: https://www.wikidata.org/wiki/Q101619028?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-14","AGPL-3.0-only , URL: /wiki/GNU_Affero_General_Public_License
",""
"Threema , URL: /wiki/Threema
","Threema GmbH","December 2012; 9 years ago (2012-12)","Web","","","AGPL-3.0-or-later , URL: /wiki/GNU_Affero_General_Public_License
",""
"Trillian , URL: /wiki/Trillian_(software)
","Cerulean Studios","July 1, 2000; 21 years ago (2000-07-01)","Android","
URL: https://www.wikidata.org/wiki/Q71483?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-04-28","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Trillian , URL: /wiki/Trillian_(software)
","Cerulean Studios","July 1, 2000; 21 years ago (2000-07-01)","iOS","
URL: https://www.wikidata.org/wiki/Q71483?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-01-06","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Trillian , URL: /wiki/Trillian_(software)
","Cerulean Studios","July 1, 2000; 21 years ago (2000-07-01)","Linux","
URL: https://www.wikidata.org/wiki/Q71483?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-05-27","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Trillian , URL: /wiki/Trillian_(software)
","Cerulean Studios","July 1, 2000; 21 years ago (2000-07-01)","macOS","
URL: https://www.wikidata.org/wiki/Q71483?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-12-16","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Trillian , URL: /wiki/Trillian_(software)
","Cerulean Studios","July 1, 2000; 21 years ago (2000-07-01)","Windows","
URL: https://www.wikidata.org/wiki/Q71483?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-10","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Trillian , URL: /wiki/Trillian_(software)
","Cerulean Studios","July 1, 2000; 21 years ago (2000-07-01)","Web","
URL: https://www.wikidata.org/wiki/Q71483?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-12-10","Proprietary , URL: /wiki/Proprietary_software
adware , URL: /wiki/Adware
freemium , URL: /wiki/Freemium
",""
"Viber , URL: /wiki/Viber
","Rakuten Viber","December 2, 2010; 11 years ago (2010-12-02)","Android","
URL: https://www.wikidata.org/wiki/Q332707?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-20","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","260 million (2019)[35]"
"Viber , URL: /wiki/Viber
","Rakuten Viber","December 2, 2010; 11 years ago (2010-12-02)","iOS","
URL: https://www.wikidata.org/wiki/Q332707?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-19","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","260 million (2019)[35]"
"Viber , URL: /wiki/Viber
","Rakuten Viber","December 2, 2010; 11 years ago (2010-12-02)","Linux","
URL: https://www.wikidata.org/wiki/Q332707?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-07-07","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","260 million (2019)[35]"
"Viber , URL: /wiki/Viber
","Rakuten Viber","December 2, 2010; 11 years ago (2010-12-02)","macOS","
URL: https://www.wikidata.org/wiki/Q332707?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-17","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","260 million (2019)[35]"
"Viber , URL: /wiki/Viber
","Rakuten Viber","December 2, 2010; 11 years ago (2010-12-02)","Windows","
URL: https://www.wikidata.org/wiki/Q332707?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-17","Proprietary , URL: /wiki/Proprietary_software
freemium , URL: /wiki/Freemium
","260 million (2019)[35]"
"WeChat , URL: /wiki/WeChat
","Tencent Holdings Limited , URL: /wiki/Tencent
","January 21, 2011; 11 years ago (2011-01-21)","","","","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","1112 million (2019)[35]"
"WhatsApp , URL: /wiki/WhatsApp
","Meta Platforms , URL: /wiki/Meta_Platforms
","January 2009; 13 years ago (2009-01)","Android","
URL: https://www.wikidata.org/wiki/Q1049511?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-10","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","2000 million (2020)[63]"
"WhatsApp , URL: /wiki/WhatsApp
","Meta Platforms , URL: /wiki/Meta_Platforms
","January 2009; 13 years ago (2009-01)","iOS","
URL: https://www.wikidata.org/wiki/Q1049511?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-16","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","2000 million (2020)[63]"
"WhatsApp , URL: /wiki/WhatsApp
","Meta Platforms , URL: /wiki/Meta_Platforms
","January 2009; 13 years ago (2009-01)","macOS","
URL: https://www.wikidata.org/wiki/Q1049511?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-16","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","2000 million (2020)[63]"
"WhatsApp , URL: /wiki/WhatsApp
","Meta Platforms , URL: /wiki/Meta_Platforms
","January 2009; 13 years ago (2009-01)","Windows","
URL: https://www.wikidata.org/wiki/Q1049511?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-12-20","Proprietary , URL: /wiki/Proprietary_software
freeware , URL: /wiki/Freeware
","2000 million (2020)[63]"
"Wickr Me , URL: /wiki/Wickr
","Wickr Inc.","June 2012; 9 years ago (2012-06)","Android","
URL: https://www.wikidata.org/wiki/Q16334358?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-12","Proprietary , URL: /wiki/Proprietary_software
",""
"Wickr Me , URL: /wiki/Wickr
","Wickr Inc.","June 2012; 9 years ago (2012-06)","iOS","
URL: https://www.wikidata.org/wiki/Q16334358?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-17","Proprietary , URL: /wiki/Proprietary_software
",""
"Wickr Me , URL: /wiki/Wickr
","Wickr Inc.","June 2012; 9 years ago (2012-06)","Desktop","
URL: https://www.wikidata.org/wiki/Q16334358?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-05","Proprietary , URL: /wiki/Proprietary_software
",""
"Wire , URL: /wiki/Wire_(software)
","Wire Swiss , URL: /wiki/Wire_Swiss
","December 3, 2014; 7 years ago (2014-12-03)","Android","
URL: https://www.wikidata.org/wiki/Q26934461?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-04","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Wire , URL: /wiki/Wire_(software)
","Wire Swiss , URL: /wiki/Wire_Swiss
","December 3, 2014; 7 years ago (2014-12-03)","iOS","
URL: https://www.wikidata.org/wiki/Q26934461?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-19","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Wire , URL: /wiki/Wire_(software)
","Wire Swiss , URL: /wiki/Wire_Swiss
","December 3, 2014; 7 years ago (2014-12-03)","Linux","
URL: https://www.wikidata.org/wiki/Q26934461?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-06-28","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Wire , URL: /wiki/Wire_(software)
","Wire Swiss , URL: /wiki/Wire_Swiss
","December 3, 2014; 7 years ago (2014-12-03)","macOS","
URL: https://www.wikidata.org/wiki/Q26934461?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-06-28","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Wire , URL: /wiki/Wire_(software)
","Wire Swiss , URL: /wiki/Wire_Swiss
","December 3, 2014; 7 years ago (2014-12-03)","Windows","
URL: https://www.wikidata.org/wiki/Q26934461?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-06-28","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Wire , URL: /wiki/Wire_(software)
","Wire Swiss , URL: /wiki/Wire_Swiss
","December 3, 2014; 7 years ago (2014-12-03)","Web","
URL: https://www.wikidata.org/wiki/Q26934461?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-13","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
",""
"Client","Developer","Initial release","Platform","Latest release","Latest release","License , URL: /wiki/Software_license
","Monthly active users , URL: /wiki/Active_users
"
"Client","Developer","Initial release","Platform","Version","Date","License , URL: /wiki/Software_license
","Monthly active users , URL: /wiki/Active_users
"
