"Manufacturer","Module","SOC/SIP Chip","MCU core","RAM","Flash","Antenna","Sleep","TX","RX","TX Power","Sensitivity","PCB Size","Released","Interfacing","Firmware options"
"Embit , URL: http://www.embit.eu/
","webpage , URL: https://web.archive.org/web/20131015101341/http://www.embit.eu/products/wireless-modules/emb-zrf212/
datasheet , URL: http://www.embit.eu/wp-content/datasheets/EMB-ZRF212B-datasheet-latest.pdf
brochure , URL: https://web.archive.org/web/20131015101157/http://www.embit.eu/wp-content/brochures/EMB-ZRF212.pdf
","datasheet , URL: http://www.atmel.com/devices/atxmega128d3.aspx
","8/16 bit AVR XMEGA","8 kB","128 kB","Ceramic Antenna, U.FL Connector, RF pads","1.3 μA","17 mA@ +5dBm","10 mA","10 dBm","–110 dBm","29 mm × 22 mm","2013","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
","Atmel Lightweight Mesh , URL: http://www.atmel.com/tools/LIGHTWEIGHT_MESH.aspx
Atmel MAC (IEEE 802.15.4) , URL: http://www.atmel.com/tools/IEEE802_15_4MAC.aspx
Atmel BitCloud (ZigBee PRO) , URL: http://www.atmel.com/tools/BITCLOUD-ZIGBEEPRO.aspx
"
"Embit , URL: http://www.embit.eu/
","webpage , URL: https://web.archive.org/web/20131015101225/http://www.embit.eu/products/wireless-modules/emb-zrf231pa/
datasheet , URL: http://www.embit.eu/wp-content/datasheets/EMB-ZRF231PA-datasheet-latest.pdf
brochure , URL: http://www.embit.eu/wp-content/brochures/EMB-ZRF231PA.pdf
","datasheet , URL: http://www.atmel.com/devices/atxmega256a3u.aspx
","8/16 bit AVR XMEGA","16 kB","256 kB","PCB Antenna, U.FL Connector, RF pads","<1.1 μA","132 mA@ +20dBm","24 mA","20 dBm","-105 dBm","29 mm x 22 mm","2011","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
","Atmel Lightweight Mesh , URL: http://www.atmel.com/tools/LIGHTWEIGHT_MESH.aspx
Atmel MAC (IEEE 802.15.4) , URL: http://www.atmel.com/tools/IEEE802_15_4MAC.aspx
Atmel BitCloud (ZigBee PRO) , URL: http://www.atmel.com/tools/BITCLOUD-ZIGBEEPRO.aspx
"
"FlexiPanel Ltd , URL: http://flexipanel.com/
","summary , URL: http://flexipanel.com/Docs/Pixie%20DS481%20Cover%20Page.pdf
datasheet , URL: http://flexipanel.com/Docs/Pixie%20DS481.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","PIC18LF4620","4 kB","64 kB","integral","2 μA","25 mA","25 mA","0 dBm","","","Mar, 2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Microchip ZigBee , URL: http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1824&appnote=en537767
"
"FlexiPanel Ltd , URL: http://flexipanel.com/
","summary , URL: http://flexipanel.com/Docs/Pixie%20DS481%20Cover%20Page.pdf
datasheet , URL: http://flexipanel.com/Docs/Pixie%20DS481.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","PIC18LF2520","1.5 kB","32 kB","integral","2 μA","25 mA","25 mA","0 dBm","","","Mar, 2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Microchip ZigBee , URL: http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1824&appnote=en537767
"
"Kirale Technologies , URL: https://www.kirale.com/
","webpage , URL: https://www.kirale.com/products/ktwm102/
","webpage , URL: https://www.microchip.com/wwwproducts/en/ATSAMR21E19A
","ARM Cortex -M0+ , URL: /wiki/ARM_Cortex-M#Cortex-M0+
","32 kB","256 kB + 512 kB","on-board chip","5 μA","17 mA","19 mA","4 dBm","-104 dBm","16.6 mm × 11.4 mm × 2.2 mm","2018","UART , URL: /wiki/UART
USB , URL: /wiki/USB
JTAG , URL: /wiki/JTAG
","KiNOS Thread Certified Stack , URL: https://www.kirale.com/news/company-gets-thread-certification/
Atmel , URL: http://www.atmel.com/
"
"Kirale Technologies , URL: https://www.kirale.com/
","webpage , URL: https://www.kirale.com/products/ktwm102/
","webpage , URL: https://www.microchip.com/wwwproducts/en/ATSAMR21E19A
","ARM Cortex -M0+ , URL: /wiki/ARM_Cortex-M#Cortex-M0+
","32 kB","256 kB + 512 kB","","5 μA","17 mA","19 mA","4 dBm","-104 dBm","16.6 mm × 11.4 mm × 2.2 mm","2018","UART , URL: /wiki/UART
USB , URL: /wiki/USB
JTAG , URL: /wiki/JTAG
","KiNOS Thread Certified Stack , URL: https://www.kirale.com/news/company-gets-thread-certification/
Atmel , URL: http://www.atmel.com/
"
"MMB Networks , URL: http://mmbnetworks.com
","datasheet , URL: http://mmbnetworks.com/s/MMB-Networks-Z357PA4x-EM357-ZigBee-Module-Specification-v02-h44f.pdf
","Overview , URL: http://www.silabs.com/products/wireless/zigbee/Pages/zigbee-chips-em35x.aspx
datasheet , URL: http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x.pdf
","32-bit ARM Cortex M3","12 kB","192 kB on-chip, 512 kB on-board","U.FL, on-board chip ceramic","0.65 μA","175 mA at 20 dBm TX power","32 mA","20 dBm max., software programmable","-106 dBm","34.2 mm × 15 mm × 2.88 mm","2015","UART and SPI","EmberZNetPRO , URL: https://web.archive.org/web/20120717005157/http://www.silabs.com/products/wireless/zigbee/Pages/zigbee-software.aspx
RapidConnect , URL: http://mmbnetworks.com/rapidconnect
"
"NXP , URL: /wiki/NXP
","data sheet , URL: https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf
","data sheet , URL: http://www.nxp.com/documents/data_sheet/JN516X.pdf
","32 MHz 32-bit RISC","32 kB","256 kB","on board","0.15 μA","15 mA","17 mA","2.5 dBm","-95 dBm","16 mm × 30 mm","2013","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","JenNet stack , URL: http://www.jennic.com/products/protocol_stacks/jennet
ZigBee stack , URL: http://www.jennic.com/products/protocol_stacks/zigbee
"
"NXP , URL: /wiki/NXP
","data sheet , URL: https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf
","data sheet , URL: http://www.nxp.com/documents/data_sheet/JN516X.pdf
","32 MHz 32-bit RISC","32 kB","256 kB","","0.15 μA","15 mA","17 mA","2.5 dBm","-95 dBm","16 mm × 30 mm","2013","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","JenNet stack , URL: http://www.jennic.com/products/protocol_stacks/jennet
ZigBee stack , URL: http://www.jennic.com/products/protocol_stacks/zigbee
"
"NXP , URL: /wiki/NXP
","data sheet , URL: https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf
","data sheet , URL: http://www.nxp.com/documents/data_sheet/JN516X.pdf
","32 MHz 32-bit RISC","32 kB","256 kB","U.FL connector , URL: /wiki/U.FL
","0.15 μA","35 mA","22 mA","9.5 dBm","-96 dBm","16 mm x30 mm","2013","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","JenNet stack , URL: http://www.jennic.com/products/protocol_stacks/jennet
ZigBee stack , URL: http://www.jennic.com/products/protocol_stacks/zigbee
"
"NXP , URL: /wiki/NXP
","data sheet , URL: https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf
","data sheet , URL: http://www.nxp.com/documents/data_sheet/JN516X.pdf
","32 MHz 32-bit RISC","32 kB","256 kB","U.FL connector , URL: /wiki/U.FL
","0.15 μA","175 mA","22 mA","22 dBm","-100 dBm","16 mm x30 mm","2013","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","JenNet stack , URL: http://www.jennic.com/products/protocol_stacks/jennet
ZigBee stack , URL: http://www.jennic.com/products/protocol_stacks/zigbee
"
"Control Data Systems , URL: http://www.cds.ro/
","datasheet , URL: https://web.archive.org/web/20160405212659/http://cds.ro/Documents/Datasheets/VN210.pdf
","datasheet , URL: http://www.freescale.com/files/rf_if/doc/data_sheet/MC1322x.pdf
","32-bit ARM7","96 kB","128 kB","MMCX Connector , URL: /wiki/MMCX_connector
","15 μA","60 mA","21 mA","10 dBm","-98 dBm","20 mm × 25 mm","2009","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Control Data Systems ISA100.11a , URL: http://www.cds.ro/#products
"
"Panasonic , URL: /wiki/Panasonic
","datasheet , URL: http://www.dataspherewireless.de/docserver/panasonic/129Datasheet.pdf
","datasheet , URL: http://www.freescale.com/files/rf_if/doc/data_sheet/MC1321x.pdf
","HC08 , URL: /wiki/Freescale_68HC08
","4 kB","60 kB","RF out or ceramic antenna","0.25 μA, 1.9 μA, 36 μA, 1.6 mA","36.5 mA","37 mA","–4 dBm, 0 dBm","–92 dBm","12.2 mm × 16.4 mm × 2.2 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Freescale Beestack , URL: http://www.freescale.com/webapp/sps/site/overview.jsp?code=PROTOCOL_ZIGBEE
Synapse SNAP Stack , URL: http://www.synapse-wireless.com/
"
"Panasonic , URL: /wiki/Panasonic
","brochure , URL: http://www.panasonic.com/industrial/components/modules/portal/downloads/PAN4561.pdf
","datasheet , URL: http://www.freescale.com/files/rf_if/doc/data_sheet/MC1321x.pdf
","HC08 , URL: /wiki/Freescale_68HC08
","4 kB","60 kB","U.FL , URL: /wiki/U.FL
","1.6 mA, 50 μA, 16 μA, 2 μA","202 mA","45 mA","20 dBm","–105 dBm","35 mm × 15 mm","Jan, 2009 , URL: http://www.panasonic.com/industrial/components/modules/portal/downloads/rfmodule_pr1.pdf
","UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
","Freescale Beestack , URL: http://www.freescale.com/webapp/sps/site/overview.jsp?code=PROTOCOL_ZIGBEE
Synapse SNAP Stack , URL: http://www.synapse-wireless.com/
"
"Panasonic , URL: /wiki/Panasonic
","datasheet , URL: https://web.archive.org/web/20110719071926/http://www.ecom.panasonic.de/pdf/engl/126Datasheet.pdf
","factsheet , URL: https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf
datasheet , URL: https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf
","16-bit 12 MHz RISC","5 kB","128 kB","U.FL , URL: /wiki/U.FL
","1 μA, 1.5 μA","35.5 mA, 41.5 mA, 28 mA","35.5 mA, 37.5 mA","3 dBm, 5 dBm, –32 dBm","–97 dBm","26.5 mm × 20 mm × 2.8 mm","2006","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
","Ember ZNet Stack , URL: https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","8-bit ATmega128","4 kB","128 kB","MMCX connector , URL: /wiki/MMCX_connector
","23 μA, 1.3 μA","27 mA","30 mA","0 dBm","-94 dBm","16.5 mm × 29.2 mm × 3.5 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
ISP , URL: /wiki/In-System_Programming
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","8-bit ATmega128","8 kB","128 kB","MMCX connector , URL: /wiki/MMCX_connector
","1.3 μA","27 mA","30 mA","0 dBm","-94 dBm","16.5 mm × 29.2 mm × 3.5 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
ISP , URL: /wiki/In-System_Programming
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","8-bit ATmega128","2 kB","32 kB","MMCX connector , URL: /wiki/MMCX_connector
","1.3 μA","23 mA","26 mA","0 dBm","-94 dBm","16.5 mm × 29.2 mm × 3.5 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
ISP , URL: /wiki/In-System_Programming
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","8-bit ATmega128","4 kB","64 kB","MMCX connector , URL: /wiki/MMCX_connector
","23 μA, 1.3 μA","27 mA","30 mA","0 dBm","-94 dBm","16.5 mm × 29.2 mm × 3.5 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
ISP , URL: /wiki/In-System_Programming
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419094927/http://www.radiocrafts.com/uploads/rc2201hp_data_sheet_1_01.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2420
errata , URL: http://www.ti.com/litv/pdf/swrz003
","8-bit ATmega1281","8 kB","128 kB","integrated or RF-on-pin connector","40 μA, 2 μA","140 mA","28 mA","17 dBm","-92 dBm","16.5 mm × 35.6 mm × 3.5 mm","Jan 2008 , URL: http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_01_22_RC2201HP.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
JTAG , URL: /wiki/Joint_Test_Action_Group
ISP , URL: /wiki/In-System_Programming
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf
","Texas Instruments CC2430 (CC2431 for location engine option) datasheet errata","8-bit 8051","8 kB","128 kB","integrated or RF-on-pin connector","300 μA, 0.9 μA, 0.6 μA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm × 25.4 mm × 2.5 mm","Jul 2008 , URL: http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_07_02_ZigBee_Network_Module.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf
","Texas Instruments CC2430 (CC2431 for location engine option) datasheet errata","8-bit 8051","8 kB","128 kB","integrated or RF-on-pin connector","300 μA, 0.9 μA, 0.6 μA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm × 25.4 mm × 2.5 mm","Jul 2008 , URL: http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_07_02_ZigBee_Network_Module.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf
","Texas Instruments CC2430 (CC2431 for location engine option) datasheet errata","8-bit 8051","8 kB","","integrated or RF-on-pin connector","300 μA, 0.9 μA, 0.6 μA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm × 25.4 mm × 2.5 mm","Jul 2008 , URL: http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_07_02_ZigBee_Network_Module.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"Radiocrafts , URL: http://www.radiocrafts.com/
","datasheet , URL: https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf
","Texas Instruments CC2430 (CC2431 for location engine option) datasheet errata","8-bit 8051","8 kB","","integrated or RF-on-pin connector","300 μA, 0.9 μA, 0.6 μA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm × 25.4 mm × 2.5 mm","Jul 2008 , URL: http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_07_02_ZigBee_Network_Module.pdf
","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Texas Instruments Z-stack , URL: http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General&HQS=Other+OT+z-stack
"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2405.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","RFIO pad","3 μA","28 mA","27 mA","0 dBm","-92 dBm","30.5 mm × 21.2 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2430.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","RFIO pad","3 μA","28 mA","27 mA","0 dBm","-92 dBm","","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2430a.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","built-in","3 μA","28 mA","27 mA","–2 dBm","–90 dBm","25 mm × 26.9 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2405hp.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","RFIO pad","3 μA","130 mA","33 mA","17 dBm","-95 dBm","40.6 mm × 21.2 mm","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2405hpa.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","","3 μA","130 mA","33 mA","","-95 dBm","","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2430hp.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","","3 μA","130 mA","33 mA","","-95 dBm","","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"RF Monolithics , URL: http://www.rfm.com/
","datasheet , URL: http://www.rfm.com/products/pdf/zmn2430hpa.pdf
","datasheet , URL: http://www.ti.com/lit/gpn/cc2430
errata , URL: http://www.ti.com/litv/pdf/swrz021
","8-bit 8051","8 kB","128 kB","","3 μA","130 mA","33 mA","","-95 dBm","","2008","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack, RFM's CSM standard module application profile"
"Radios, Inc. , URL: http://www.radiosinc.com/
","datasheet , URL: http://www.radiosinc.com/Products/Data%20Sheets/Transceiver/MXR-EM20.pdf
","datasheet , URL: https://web.archive.org/web/20110710190342/http://www.ember.com/pdf/EM2420datasheet.pdf
","8-bit ATmega128L","4 kB","128 kB","RF on pin","20 μA","17.4 mA","19.7 mA","0 dBm","–94 dBm","25.4 mm × 18.4 mm","Oct 2005","SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","ZigBee stack"
"Synapse , URL: http://www.synapse-wireless.com
","datasheet , URL: https://web.archive.org/web/20151123084354/http://www.synapse-wireless.com/upl/downloads/industry-solutions/reference/datasheet-synapse-sm220uf1-df89804e.pdf
","datasheet , URL: http://www.atmel.com/Images/doc8266.pdf
","8-bit ATmega","16 kB","128 kB","PCB Antenna and U.FL connector","0.4 μA","20 dBm: 150 mA 6 dBm: 55 mA","22 mA","20 dBm","–103 dBm","29.8mm × 19mm","2013","UART , URL: /wiki/UART
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
I²C , URL: /wiki/I%C2%B2C
","Synapse SNAP Stack , URL: http://www.synapse-wireless.com/
"
"Talon Communications , URL: http://taloncom.com/
","summary , URL: http://www.taloncom.com/images/Talon_Oasis_Module_and_Platforms.pdf
datasheet , URL: http://www.taloncom.com/images/Talon%20Oasis%20ZigBee%20Module%20User%20Manual%20072215.pdf
","datasheet , URL: http://cache.nxp.com/files/rf_if/doc/data_sheet/MKW2xDxxx.pdf?pspll=1
","Cortex-M4","64 kB","512 kB","U.FL, MMCX or edge connect to external trace PIFA","4uA","111 mA","24 mA","20 dBm","-108 dBm","25mm × 20mm × 2.7mm","Feb 2015","JTAG , URL: /wiki/Joint_Test_Action_Group
UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
GPIO , URL: /wiki/GPIO
","ZigBee PRO , URL: http://www.nxp.com/search?proxystylesheet=nxp_search_style_fe&oe=UTF-8&ie=UTF-8&ud=1&output=xml_no_dtd&exclude_apps=1&callback=ss_show&lang_cd=en&filter=0&getfields=*&baseUrl=http://www.nxp.com/webapp&SEARCH_OPERATOR=Contains&attempt=-1&rc=1&hl=en&ulang=en&ip=70.211.8.198&access=p&entqr=3&entqrm=0&entsp=a&wc=200&wc_mc=1&sort=date:D:L:d1&site=nxp_en&client=nxp_search_sw_tools&q=beestack+kw2x+inmeta:Asset_Type%3DSoftwareTools&dnavs=inmeta:Asset_Type%3DSoftwareTools
"
"Talon Communications , URL: http://taloncom.com/
","datasheet , URL: http://www.taloncom.com/images/Talon%20Sierra%20mangOH%20IoT%20Module%20User%20Manual%20052116.pdf
","datasheet , URL: http://cache.nxp.com/files/rf_if/doc/data_sheet/MKW2xDxxx.pdf?pspll=1
","Cortex-M4","64 kB","512 kB","RP-SMA, Chip","4uA","111 mA","24 mA","20 dBm","-108 dBm","","","","ZigBee PRO , URL: http://www.nxp.com/search?proxystylesheet=nxp_search_style_fe&oe=UTF-8&ie=UTF-8&ud=1&output=xml_no_dtd&exclude_apps=1&callback=ss_show&lang_cd=en&filter=0&getfields=*&baseUrl=http://www.nxp.com/webapp&SEARCH_OPERATOR=Contains&attempt=-1&rc=1&hl=en&ulang=en&ip=70.211.8.198&access=p&entqr=3&entqrm=0&entsp=a&wc=200&wc_mc=1&sort=date:D:L:d1&site=nxp_en&client=nxp_search_sw_tools&q=beestack+kw2x+inmeta:Asset_Type%3DSoftwareTools&dnavs=inmeta:Asset_Type%3DSoftwareTools
"
"Telegesis Ltd , URL: http://www.telegesis.com/
","brochure , URL: http://www.telegesis.com/downloads/general/ETRX2-Product_Brief.pdf
datasheet , URL: http://www.telegesis.com/downloads/general/TG-ETRX2-PM-001-110.pdf
","factsheet , URL: https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf
datasheet , URL: https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf
","16-bit 12 MHz RISC","5 kB","128 kB","U.FL connector , URL: /wiki/U.FL
","1 μA, 1.5 μA","35.5 mA, 41.5 mA, 28 mA","35.5 mA, 37.5 mA","3 dBm, 5 dBm","−94 dBm, −95 dBm, −98 dBm, −99 dBm","37.75 mm × 20.45 mm","2008","UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Ember ZNet Stack , URL: https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html
"
"Telegesis Ltd , URL: http://www.telegesis.com/
","brochure , URL: http://www.telegesis.com/downloads/general/ETRX2-PA-Product_Brief.pdf
datasheet , URL: http://www.telegesis.com/downloads/general/TG-ETRX2PA-PM-003-110.pdf
","factsheet , URL: https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf
datasheet , URL: https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf
","16-bit 12 MHz RISC","5 kB","128 kB","U.FL connector , URL: /wiki/U.FL
","0.8 μA, 1.5 μA, 3 μA, 3.5 μA","56 mA, 63 mA, 106 mA, 120 mA, 121 mA","37 mA","0 dBm, 10 dBm, 18.5 dBm, 17.5 dBm","−92 dBm, −93 dBm, −96 dBm, −97 dBm","37.75 mm × 20.5 mm","2009","UART , URL: /wiki/UART
I²C , URL: /wiki/I%C2%B2C
SPI , URL: /wiki/Serial_Peripheral_Interface_Bus
","Ember ZNet Stack , URL: https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html
"
