"Brand","Model name","Sensor size , URL: /wiki/Image_sensor_format
","megapixels , URL: /wiki/Megapixel
","Lens mount , URL: /wiki/Lens_mount
","Viewfinder coverage","Metering , URL: /wiki/Metering_mode
","Focus , URL: /wiki/Autofocus
","ISO , URL: /wiki/Film_speed
","ISO , URL: /wiki/Film_speed
","DxO score","DxO ISO[1]","Cont. shtg","LCD size","Live view , URL: /wiki/Live_view
","Movie mode","Memory card","Video","Dimensions (mm)","Weight (g)[2]","Announced (date)","Reference"
"Nikon , URL: /wiki/Nikon
","D3100 , URL: /wiki/Nikon_D3100
","APS-C , URL: /wiki/APS-C
","14.2","F-mount , URL: /wiki/Nikon_F-mount
","95","420","11","100","12800","67","919","4.4","3.2","yes","yes","SD , URL: /wiki/Secure_Digital
","","124x96x74.5","505","Aug 2010","[88] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3100
[89] , URL: http://www.dpreview.com/reviews/nikond3100/page2.asp
"
"Nikon , URL: /wiki/Nikon
","D3000 , URL: /wiki/Nikon_D3000
","APS-C , URL: /wiki/APS-C
","10.2","F-mount , URL: /wiki/Nikon_F-mount
","95","420","11","100","3200","62","563","3","3","no","no","SD , URL: /wiki/Secure_Digital
","","126x97x64","536","Jul 2009","[90] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3000
"
"Olympus , URL: /wiki/Olympus_Corporation
","E-5 , URL: /wiki/Olympus_E-5
","Four Thirds , URL: /wiki/Four_Thirds_system
","12.3","MFT , URL: /wiki/Four_Thirds_system
","100","49","11","100","6400","56","519","5","3.0","yes","yes","CF , URL: /wiki/CompactFlash
SD , URL: /wiki/Secure_Digital
","","142x116x75","813 (without battery)","Sep 2010","[92] , URL: https://web.archive.org/web/20120316002002/http://www.olympusamerica.com/cpg_section/product.asp?product=1525&page=specs
"
"Olympus , URL: /wiki/Olympus_Corporation
","E-3 , URL: /wiki/Olympus_E-3
","Four Thirds , URL: /wiki/Four_Thirds_system
","10.1","MFT , URL: /wiki/Four_Thirds_system
","100","49","11","100","3200","56","571","5","2.5","yes","no","CF , URL: /wiki/CompactFlash
xD , URL: /wiki/XD-Picture_Card
","","142x116x75","800 (without battery)","Oct 2007","[93] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E3
[94] , URL: http://www.olympusamerica.com/cpg_section/product.asp?product=1323&page=specs
"
"Olympus , URL: /wiki/Olympus_Corporation
","E-30 , URL: /wiki/Olympus_E-30
","Four Thirds , URL: /wiki/Four_Thirds_system
","12.3","MFT , URL: /wiki/Four_Thirds_system
","98","49","11","100","3200","55","530","5","2.7","yes","no","CF , URL: /wiki/CompactFlash
xD , URL: /wiki/XD-Picture_Card
","","142x116x75","730","Feb 2009","[95] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E30
[96] , URL: http://www.olympusamerica.com/cpg_section/product.asp?product=1430&page=specs
"
"Olympus , URL: /wiki/Olympus_Corporation
","E-620 , URL: /wiki/Olympus_E-620
","Four Thirds , URL: /wiki/Four_Thirds_system
","12.3","MFT , URL: /wiki/Four_Thirds_system
","95","49","7","100","3200","55","536","4","2.7","yes","no","CF , URL: /wiki/CompactFlash
xD , URL: /wiki/XD-Picture_Card
","","130x94x60","475 (without battery)","Feb 2009","[97] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E620
[98] , URL: http://www.olympusamerica.com/cpg_section/product.asp?product=1452&page=specs
"
"Pentax , URL: /wiki/Pentax
","645D , URL: /wiki/Pentax_645D
","Medium format , URL: /wiki/Medium_format_(film)
","39.5","Pentax 645 , URL: /wiki/Pentax_645
","98","77","11","100","1600","82","1262","1","3","no","no","SDXC , URL: /wiki/Secure_Digital
","","156x117x119","1400","Mar 2010","[99] , URL: https://www.dxomark.com/Cameras/Pentax/645D
[100] , URL: http://www.ricoh-imaging.co.jp/english/products/645d/feature.html
"
"Pentax , URL: /wiki/Pentax
","645Z , URL: /wiki/Pentax_645Z
","Medium format , URL: /wiki/Medium_format_(film)
","39.5","Pentax 645 , URL: /wiki/Pentax_645
","98","86000","27","100","204800","101","4505","3","3,2","yes","yes","SDXC , URL: /wiki/Secure_Digital
","","156x117x123","1550","Apr 2014","[101] , URL: https://www.dxomark.com/Cameras/Pentax/645Z
[102] , URL: http://www.ricoh-imaging.co.jp/english/products/645z/
"
"Pentax , URL: /wiki/Pentax
","K-1 , URL: /wiki/Pentax_K-1
","Full frame , URL: /wiki/Full-frame_digital_SLR
","36.3","K mount , URL: /wiki/Pentax_K_mount
","100","86000","33","80","204800","96","3280","4.4","3.2","yes","yes","SDXC , URL: /wiki/Secure_Digital
","1080p30","136,5x110x85,5","750","Sep 2016","[103] , URL: https://www.dxomark.com/Cameras/Pentax/K-1
[104] , URL: http://www.ricoh-imaging.co.jp/english/products/k-1/
"
"Pentax , URL: /wiki/Pentax
","K-3 III , URL: /wiki/Pentax_K-3_III
","APS-C , URL: /wiki/APS-C
","25.6","K mount , URL: /wiki/Pentax_K_mount
","100","307000","101","100","1600000","","","12","3.2","yes","yes","SDXC , URL: /wiki/Secure_Digital
","2160p30","135x104x74","735","Mar 2021","[105] , URL: http://news.ricoh-imaging.co.jp/rim_info2/2021/20210331_030251.html
[106] , URL: http://www.ricoh-imaging.co.jp/english/products/k-3-3/
"
"Pentax , URL: /wiki/Pentax
","K-5 , URL: /wiki/Pentax_K-5
","APS-C , URL: /wiki/APS-C
","16.3","K mount , URL: /wiki/Pentax_K_mount
","100","77","11","80","51200","82","1162","7","3","yes","yes","SDXC , URL: /wiki/Secure_Digital
","","131x97x73","750","Sep 2010","[107] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K5
[108] , URL: https://web.archive.org/web/20101206023448/http://www.pentaximaging.com/slr/K-5/
"
"Pentax , URL: /wiki/Pentax
","K-7 , URL: /wiki/Pentax_K-7
","APS-C , URL: /wiki/APS-C
","14.6","K mount , URL: /wiki/Pentax_K_mount
","100","77","11","100","6400","61","536","5.2","3","yes","yes","SD , URL: /wiki/Secure_Digital
","","131x97x73","750","May 2009","[109] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K7
[110] , URL: https://web.archive.org/web/20101005031916/http://www.pentaximaging.com/slr/K-7
"
"Pentax , URL: /wiki/Pentax
","K-50 , URL: /wiki/Pentax_K-50
","APS-C , URL: /wiki/APS-C
","16.3","K mount , URL: /wiki/Pentax_K_mount
","100","77","11","100","51200","79","1120","6","3","yes","yes","SDXC , URL: /wiki/Secure_Digital
","","130x97x71","650","June 2013","[111] , URL: http://www.dxomark.com/Cameras/Pentax/K-50
[112] , URL: http://www.dpreview.com/products/pentax/slrs/pentax_k50/specifications
"
"Pentax , URL: /wiki/Pentax
","K-500 , URL: /wiki/Pentax_K-500
","APS-C , URL: /wiki/APS-C
","16.3","K mount , URL: /wiki/Pentax_K_mount
","100","77","11","100","51200","79","1087","6","3","yes","yes","SDXC , URL: /wiki/Secure_Digital
","","130x97x71","646","June 2013","[113] , URL: http://www.dxomark.com/Cameras/Pentax/K-500
[114] , URL: http://www.dpreview.com/products/pentax/slrs/pentax_k500/specifications
"
"Pentax , URL: /wiki/Pentax
","K-30 , URL: /wiki/Pentax_K-30
","APS-C , URL: /wiki/APS-C
","16.3","K mount , URL: /wiki/Pentax_K_mount
","100","77","11","100","25600","79","1129","6","3","yes","yes","SDXC , URL: /wiki/Secure_Digital
","","131x97x73","649","May 2012","[115] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K-30
[116] , URL: https://web.archive.org/web/20130320095124/http://www.pentaximaging.com/dslr/K-30_Black
"
"Pentax , URL: /wiki/Pentax
","K-r , URL: /wiki/Pentax_K-r
","APS-C , URL: /wiki/APS-C
","12.4","K mount , URL: /wiki/Pentax_K_mount
","96","16","11","100","25600","72","755","6.0","3.0","yes","yes","SD , URL: /wiki/Secure_Digital
","","122x91x67","515 (without battery)","Sep 2010","[117] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/Kr
[118] , URL: https://web.archive.org/web/20111009101240/http://www.pentaximaging.com/slr/K-r_Black/
"
"Pentax , URL: /wiki/Pentax
","K-x , URL: /wiki/Pentax_K-x
","APS-C , URL: /wiki/APS-C
","12.4","K mount , URL: /wiki/Pentax_K_mount
","96","16","11","100","12800","72","811","4.7","2.7","yes","yes","SD , URL: /wiki/Secure_Digital
","","122x91x67","580","Sep 2009","[119] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/Kx
[120] , URL: https://web.archive.org/web/20101205153112/http://www.pentaximaging.com/slr/K-x_Black/
"
"Pentax , URL: /wiki/Pentax
","K20D , URL: /wiki/Pentax_K20D
","APS-C , URL: /wiki/APS-C
","14.6","K mount , URL: /wiki/Pentax_K_mount
","96","16","11","100","6400","65","639","3","2.7","yes","","SD , URL: /wiki/Secure_Digital
","","141.5×101×70","800","Jan 2008","[121] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K20D
"
"Sigma , URL: /wiki/Sigma_Corporation
","SD1 Merrill , URL: /wiki/Sigma_SD1_Merrill
","APS-C , URL: /wiki/APS-C
","15.4 x 3","SA mount , URL: /wiki/Sigma_SA-mount
","96","77","11","100","6400","N/A","N/A","6","3","no","no","CF , URL: /wiki/Compact_Flash
","","146x113x80","790","Feb 2012","[122] , URL: https://web.archive.org/web/20140820100234/http://www.sigmaphoto.com/product/sd1-merrill-digital-slr-camera-0
[123] , URL: http://www.dpreview.com/reviews/sigmasd1/2
"
"Sony , URL: /wiki/Sony
","Alpha 900 , URL: /wiki/Sony_Alpha_900
","Full frame , URL: /wiki/Full-frame_digital_SLR
","24.6","Sony α/Minolta A , URL: /wiki/Minolta_AF
","100","40","9","100","6400","79","1431","5","3","no","no","CF , URL: /wiki/CompactFlash
MS , URL: /wiki/Memory_Stick
","","156x117x82","895","Sep 2008","[124] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-900
"
"Sony , URL: /wiki/Sony
","Alpha 850 , URL: /wiki/Sony_Alpha_850
","Full frame , URL: /wiki/Full-frame_digital_SLR
","24.6","Sony α/Minolta A , URL: /wiki/Minolta_AF
","98","40","9","100","6400","79","1415","3","3","no","no","CF , URL: /wiki/CompactFlash
MS , URL: /wiki/Memory_Stick
","","156x117x82","895","Aug 2009","[126] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-850
[127] , URL: http://www.sony.co.uk/product/dsd-body/dslr-a850#pageType=TechnicalSpecs
"
"Sony","Alpha 580 , URL: /wiki/Sony_Alpha_580
","APS-C , URL: /wiki/APS-C
","16.2","Sony α/Minolta A , URL: /wiki/Minolta_AF
","95","","15","100","12800","80","1121","7","3","yes","yes","SD, MS","","137x104x84","599 (without battery)","Aug 2010","[128] , URL: http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-580
"
"Brand","Model name","Sensor size , URL: /wiki/Image_sensor_format
","megapixels , URL: /wiki/Megapixel
","Lens mount , URL: /wiki/Lens_mount
","Viewfinder , URL: /wiki/Viewfinder
","Metering , URL: /wiki/Metering_mode
","Focus , URL: /wiki/Autofocus
","ISO , URL: /wiki/Film_speed
","ISO , URL: /wiki/Film_speed
","sensor , URL: /wiki/Image_sensor
","ISO , URL: /wiki/Film_speed
","Cont. shtg , URL: /wiki/Continuous_shooting
","LCD size (in)","Live view , URL: /wiki/Live_view
","Movie mode","Memory card , URL: /wiki/Memory_card
","","Dimensions (mm)","Weight (g)[4]","Announced (date)","Reference"
