"Format","Full name","Owner","based on","File extension , URL: /wiki/File_extension
","MIME , URL: /wiki/MIME
","Application","Patented"
"SUN","Sun rasterfile","Sun Microsystems , URL: /wiki/Sun_Microsystems
","",".sun, .ras, .rs, .im1, .im8, .im24, .im32","","GIMP , URL: /wiki/GIMP
",""
"STX","SBIG CCD camera ST-x","","",".stx, .st4, .st5, .st6, .st7, .st8, .st9","","",""
"SView5 Graphics","","Andreas Kleinert","",".svg/.sgx","","Used by SView5-Library/SDK",""
"SVG , URL: /wiki/Scalable_Vector_Graphics
","Scalable Vector Graphics","World Wide Web Consortium , URL: /wiki/World_Wide_Web_Consortium
","XML , URL: /wiki/XML
",".svg, .svgz (compressed)","image/svg+xml","Scriptable vector image format; supported by major web browsers, occasionally via plug-in.","No"
"SWF , URL: /wiki/SWF
","Shockwave Flash","Adobe Systems , URL: /wiki/Adobe_Systems
","",".swf","application/x-shockwave-flash","Supported by many web browsers via plug-in.",""
"SXD","OpenOffice.org , URL: /wiki/OpenOffice.org
","","",".sxd","","",""
"TGA , URL: /wiki/Truevision_TGA
","Truevision Targa","Truevision Inc.","",".tga, .tpic","image/tga","Used by many 3D rendering applications and 3d videogames for storing textures.","Yes?"
"TIFF , URL: /wiki/Tagged_Image_File_Format
","Tagged Image File Format","Adobe Systems , URL: /wiki/Adobe_Systems
","",".tiff, .tif","image/tiff","Document scanning and imaging format, also functions as a container.","No"
"TIFF/EP , URL: /wiki/TIFF/EP
","Tag Image File Format / Electronic Photography","International Organization for Standardization","TIFF , URL: /wiki/Tagged_Image_File_Format
",".tiff, .tif","","",""
"TIFF-FX","Tag Image File Format Fax eXtended","","TIFF , URL: /wiki/Tagged_Image_File_Format
",".tiff, .tif","image/tiff-fx","",""
"Tiny Stuff","","David Mumper","",".tny, .tn1, .tn2, .tn3, .tn4, .tn5, tn6","","Atari ST , URL: /wiki/Atari_ST
",""
"TLG5","","","",".tlg","","KiriKiri , URL: /wiki/KiriKiri
",""
"TLG6","","","",".tlg","","KiriKiri , URL: /wiki/KiriKiri
",""
"UFO , URL: /wiki/Ulead_PhotoImpact
","Ulead File for Objects","","",".ufo","","",""
"VML , URL: /wiki/Vector_Markup_Language
","Vector Markup Language","Microsoft , URL: /wiki/Microsoft
","XML",".htm, .html","application/vnd.openxmlformats-officedocument.vmlDrawing","Internet Explorer , URL: /wiki/Internet_Explorer
Microsoft Office , URL: /wiki/Microsoft_Office
","No"
"WBMP , URL: /wiki/Wireless_Application_Protocol_Bitmap_Format
","Wireless Application Protocol Bitmap Format","Open Mobile Alliance , URL: /wiki/Open_Mobile_Alliance
","",".wbmp, .wbm, .wbp","image/vnd.wap.wbmp","WAP , URL: /wiki/Wireless_Application_Protocol
","No"
"WebP , URL: /wiki/WebP
","WebP image format","Google , URL: /wiki/Google
","",".webp","image/webp","Provides an alternative to JPEG, PNG and GIF with superior compression","Yes (royalty-free)"
"WinFax","","Symantec , URL: /wiki/NortonLifeLock
","",".wfx, fxs, fxo","","",""
"WMF , URL: /wiki/Windows_Metafile
","Windows Metafile Format","Microsoft , URL: /wiki/Microsoft
","",".wmf, .wmz","","",""
"WordPerfect Graphics File","","","",".wpg","","",""
"XAML , URL: /wiki/XAML
","Extensible Application Markup Language","Microsoft , URL: /wiki/Microsoft
","XML , URL: /wiki/XML
",".xaml","application/xaml+xml","Windows Presentation Foundation , URL: /wiki/Windows_Presentation_Foundation
Microsoft Silverlight , URL: /wiki/Microsoft_Silverlight
","?"
"XAR , URL: /wiki/Xar_(graphics)
","Xar","Xara , URL: /wiki/Xara
","Xar (graphics) , URL: /wiki/Xar_(graphics)
",".xar","application/vnd.xara","Xara Photo & Graphic Designer , URL: /wiki/Xara_Photo_%26_Graphic_Designer
","No"
"XBM , URL: /wiki/XBM
","X BitMap, colour variant of original black-and-white bitmap (bmp) format","","",".xbm, .bm, .icon, .bitmap","image/x-xbitmap","Used by many legacy Unix applications.",""
"XCF , URL: /wiki/XCF_(file_format)
","eXperimental Computing Facility , URL: /wiki/EXperimental_Computing_Facility
","The GIMP Team","",".xcf, .xcfbz2 (compressed), .xcfgz (compressed)","application/x-gimp-image","Used by GIMP",""
"XPM , URL: /wiki/XPM_(image_format)
","X-Pixmap","","",".xpm, .pm","image/x-xpm","Used by many legacy Unix applications.",""
"X3F , URL: /wiki/Raw_image_format
","SIGMA RAW","SIGMA , URL: /wiki/SIGMA
","",".x3f","","",""
"XWD","xwud X11 window dumper/undumper screenshot image","","",".xwd, .x11","","X Window System , URL: /wiki/X_Window_System
",""
"XYZ","RPG Maker , URL: /wiki/RPG_Maker
","ASCII , URL: /wiki/ASCII_(company)
","",".xyz","","RPG Maker , URL: /wiki/RPG_Maker
","No"
"YCbCr","","","",".ycbcr","","",""
"YCbCrA","","","",".ycbcra","","",""
"YUV","","","",".yuv","","",""
"ZDT","","","",".zdt","","Used by TECH Win",""
"Format","Full name","Owner","based Format","File extension , URL: /wiki/File_extension
","MIME , URL: /wiki/MIME
","Application","Patented"
